Iteration	Posterior	Likelihood	Prior	kappa	omega_background	omega_focal	omega_scalar	pi[1]	pi[2]	pi[3]	pi[4]	prob_inc
1000	-1.25157	0	-1.25157	1.603682	0.7247647	0.7050286	0.9727689	0.142265	0.537872	0.204528	0.115335	0
1010	-1.32425	0	-1.32425	0.17759	1.644578	1.599795	0.9727689	0.148116	0.0821559	0.0483302	0.721398	0
1020	-1.26154	0	-1.26154	0.3057849	1.852532	1.802086	0.9727689	0.269463	0.481435	0.0312411	0.217861	0
1030	-0.876996	0	-0.876996	0.8499822	1.088602	1.058958	0.9727689	0.146638	0.346588	0.39707	0.109704	0
1040	-0.0149084	0	-0.0149084	0.2501393	0.3958402	0.385061	0.9727689	0.0118376	0.00260041	0.799453	0.186109	0
1050	-0.0793009	0	-0.0793009	0.6259257	0.3599287	0.3501275	0.9727689	0.372024	0.0320401	0.13571	0.460226	0
1060	-2.63184	0	-2.63184	1.011577	2.971972	2.891042	0.9727689	0.011993	0.109979	0.717216	0.160813	0
1070	-1.99269	0	-1.99269	2.064636	1.067178	1.038117	0.9727689	0.499903	0.258801	0.191062	0.050234	0
1080	-0.734526	0	-0.734526	0.2325531	1.192474	1.160002	0.9727689	0.182829	0.330417	0.420594	0.0661604	0
1090	-0.194588	0	-0.194588	0.6261459	0.594692	0.5784979	0.9727689	0.617718	0.117045	0.114753	0.150484	0
1100	-0.366737	0	-0.366737	0.7202273	0.6959779	0.6770257	0.9727689	0.5479	0.195601	0.0255232	0.230975	0
1110	-0.609388	0	-0.609388	0.2794366	1.134095	1.103212	0.9727689	0.469703	0.276476	0.0208894	0.232932	0
1120	-1.88577	0	-1.88577	0.6188314	2.469579	2.40233	0.9727689	0.0153536	0.543704	0.215696	0.225247	0
1130	-1.75611	0	-1.75611	0.7271153	2.183896	2.124426	0.9727689	0.028637	0.273369	0.315549	0.382445	0
1140	-0.534807	0	-0.534807	0.1560383	0.7240048	0.7042894	0.9727689	0.0087582	0.670982	0.00706645	0.313194	0
1150	-2.31978	0	-2.31978	1.000933	2.558956	2.489273	0.9727689	0.0970884	0.0654104	0.596395	0.241106	0
1160	-1.98696	0	-1.98696	0.3038298	2.76035	2.685183	0.9727689	0.00744526	0.643596	0.012505	0.336454	0
1170	-2.98984	0	-2.98984	0.9457283	3.607777	3.509533	0.9727689	0.141046	0.276812	0.0829597	0.499182	0
1180	-2.49368	0	-2.49368	0.1335799	2.776649	2.701038	0.9727689	0.00858705	0.517583	0.462505	0.0113252	0
1190	-1.59782	0	-1.59782	0.34099	2.271631	2.209772	0.9727689	0.0159092	0.0787783	0.161704	0.743608	0
1200	-3.15827	0	-3.15827	2.281062	2.146763	2.088304	0.9727689	0.242369	0.572879	0.0188283	0.165923	0
1210	-0.0672456	0	-0.0672456	0.6093162	0.344712	0.3353252	0.9727689	0.166554	0.323594	0.0710715	0.438781	0
1220	-2.09003	0	-2.09003	1.186387	2.0395	1.983962	0.9727689	0.185149	0.266525	0.196598	0.351728	0
1230	-1.58555	0	-1.58555	0.5527425	2.157807	2.099047	0.9727689	0.448509	0.126459	0.0819344	0.343097	0
1240	-2.86767	0	-2.86767	1.092554	3.196734	3.109683	0.9727689	0.173396	0.172496	0.234835	0.419272	0
1250	-2.5343	0	-2.5343	0.7473802	3.208364	3.120997	0.9727689	0.14618	0.169897	0.324806	0.359117	0
1260	-3.19586	0	-3.19586	0.7797036	4.219158	4.104266	0.9727689	0.0126769	0.307186	0.632803	0.0473337	0
1270	-2.62356	0	-2.62356	1.202381	2.697178	2.623731	0.9727689	0.0746433	0.0425747	0.743547	0.139235	0
1280	-2.06241	0	-2.06241	1.096925	2.112817	2.055283	0.9727689	0.458599	0.227633	0.192609	0.121159	0
1290	-1.26078	0	-1.26078	0.4600951	1.842592	1.792416	0.9727689	0.395214	0.168199	0.115363	0.321224	0
1300	-1.61256	0	-1.61256	0.6749092	2.068089	2.011773	0.9727689	0.323229	0.438037	0.0851221	0.153612	0
1310	-1.14474	0	-1.14474	0.8116934	1.400737	1.362594	0.9727689	0.110855	0.0618903	0.764993	0.0622615	0
1320	-0.176076	0	-0.176076	0.2003666	0.2651178	0.2578983	0.9727689	0.498926	0.0158274	0.241282	0.243965	0
1330	-1.97054	0	-1.97054	1.709407	1.358008	1.321028	0.9727689	0.241514	0.0222017	0.424499	0.311785	0
1340	-0.731735	0	-0.731735	0.1963236	1.096855	1.066987	0.9727689	0.0220037	0.508937	0.1976	0.27146	0
