Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]	transition_rates[1]	transition_rates[2]
60	0	-1717.965	-1725.307	7.34228	0.196238	0.0343918	1.24316e-05	11.1238	0.0480506	0.951949	0.196251	11.1582	0.0153118	0.000532047
61	1	-1996.846	-2013.833	16.98673	1.85854e-05	0.129138	2.90722e-06	0.131645	0.591404	0.408596	2.14926e-05	0.260783	0.0131645	0.0548522
62	0	-1718.379	-1725.679	7.300761	0.183607	0.0343918	1.3373e-05	11.1238	0.107852	0.892148	0.183621	11.1582	0.015546	0.000498265
63	1	-1995.762	-2012.573	16.81183	1.91784e-05	0.141731	3.20917e-06	0.119052	0.591404	0.408596	2.23875e-05	0.260783	0.0134759	0.0553178
64	0	-1718.671	-1726.031	7.359293	0.177716	0.0343918	1.31744e-05	11.1238	0.107852	0.892148	0.177729	11.1582	0.0155035	0.000478144
65	1	-1994.584	-2011.196	16.61201	1.64103e-05	0.172157	3.21043e-06	0.112494	0.383533	0.616467	1.96207e-05	0.284651	0.0151944	0.0553178
66	0	-1720.734	-1727.843	7.108926	0.177715	0.0343918	1.351e-05	11.1238	0.381615	0.618385	0.177729	11.1582	0.0167455	0.000524346
67	1	-1992.373	-2008.479	16.10643	1.56212e-05	0.148196	3.21231e-06	0.136455	0.351944	0.648056	1.88336e-05	0.284651	0.0172127	0.0553178
68	0	-1719.511	-1725.961	6.449688	0.184017	0.0343918	1.34365e-05	11.1238	0.524913	0.475087	0.184031	11.1582	0.0203798	0.000492792
69	1	-1984.675	-2000.189	15.51367	1.77388e-05	0.154485	2.75736e-06	0.125488	0.351944	0.648056	2.04961e-05	0.279974	0.0172127	0.059672
70	0	-1717.938	-1724.508	6.570165	0.185956	0.0343918	1.43916e-05	11.1238	0.524913	0.475087	0.18597	11.1582	0.0192758	0.000454966
71	1	-1981.854	-1996.835	14.98072	1.56534e-05	0.166404	2.90426e-06	0.114202	0.444802	0.555198	1.85576e-05	0.280606	0.0191232	0.0616077
72	0	-1717.739	-1724.405	6.666081	0.185373	0.0343918	1.74584e-05	11.1238	0.524913	0.475087	0.18539	11.1582	0.0176466	0.000448365
73	1	-1980.582	-1995.217	14.63519	1.96305e-05	0.16359	2.81526e-06	0.121678	0.175504	0.824496	2.24457e-05	0.285268	0.0197327	0.0616077
74	0	-1717.489	-1723.994	6.504928	0.185372	0.0343918	1.82323e-05	11.1238	0.280237	0.719763	0.18539	11.1582	0.0183203	0.000448365
75	1	-1971.007	-1984.583	13.57622	1.84138e-05	0.17214	2.92616e-06	0.128036	0.175504	0.824496	2.134e-05	0.300177	0.0195861	0.0672968
