Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
1530	-57.599	-53.1742	-4.42476	2.176353	-0.7646627	0.1719243
1540	-56.55	-53.5037	-3.04635	1.529018	-0.6901736	0.2040922
1550	-56.0763	-54.0745	-2.00182	0.9677765	-0.728905	0.1866788
1560	-56.9336	-53.2754	-3.65816	1.817149	-0.6914963	0.2034715
1570	-56.6392	-53.9097	-2.72958	1.375135	-0.8481143	0.1418684
1580	-57.0634	-55.2959	-1.76755	0.6870094	-0.5880413	0.2582015
1590	-56.3356	-53.884	-2.45154	1.233435	-0.8126265	0.1539478
1600	-56.1605	-53.8389	-2.32167	1.163419	-0.7329526	0.184947
1610	-56.1633	-54.3907	-1.77253	0.7224592	-0.7705275	0.1696182
1620	-56.6276	-53.5679	-3.05967	1.535381	-0.7788418	0.1664019
1630	-56.7779	-55.0102	-1.7677	0.6931788	-0.9614057	0.1092935
1640	-58.2564	-53.4921	-4.76435	2.337524	-0.5094737	0.3094043
1650	-58.9915	-53.3886	-5.60286	2.745037	-0.8527875	0.14035
1660	-56.6714	-54.0606	-2.61089	1.315688	-0.872314	0.1341795
1670	-58.4784	-53.8039	-4.67444	2.294669	-0.4717344	0.3374936
1680	-58.0892	-55.4488	-2.64043	1.330606	-1.059995	0.08709734
1690	-57.8526	-54.8662	-2.98643	1.500299	-1.002729	0.09937359
1700	-56.8354	-54.2098	-2.62557	1.323117	-0.9008717	0.1256401
1710	-57.7896	-53.1424	-4.64724	2.281733	-0.7688692	0.1702671
1720	-58.3644	-53.4277	-4.93671	2.420081	-0.5097498	0.3092076
1730	-57.9118	-53.6539	-4.25789	2.097763	-0.8663617	0.1360311
1740	-57.0961	-53.5931	-3.50295	1.744564	-0.5847356	0.2601743
1750	-56.2745	-54.3845	-1.88996	0.8802038	-0.8690808	0.1351821
1760	-56.4617	-53.8281	-2.63362	1.327175	-0.8180104	0.1520511
1770	-56.1784	-54.1553	-2.02313	0.982627	-0.6789668	0.2094272
1780	-56.296	-53.7576	-2.53837	1.278663	-0.7739199	0.1682985
1790	-56.4705	-53.5646	-2.90582	1.46142	-0.6907733	0.2038106
1800	-56.238	-54.4702	-1.76781	0.6794843	-0.8130055	0.1538135
