Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
840	-51.8456	-45.9973	-5.84833	0.27958	0.72042	0.01771444	2.7126	1.39686	0.621741	0	1.147606	0.7204201	0.2795799	5.83187
850	-54.1849	-47.0031	-7.18182	0.269112	0.730888	0.02850677	3.65728	1.34363	0.525027	0	1.196237	0.7308884	0.2691116	20.25246
860	-52.1893	-45.951	-6.23821	0.00235593	0.997644	0.02363994	2.22726	1.32341	0.613663	0	0.6579255	0.9976441	0.002355927	14.51355
870	-54.4428	-46.9881	-7.45475	0.849362	0.150638	0.03081272	2.84707	1.40762	0.676063	0	0.347572	0.1506381	0.8493619	19.40994
880	-56.3946	-47.0705	-9.32408	0.447056	0.552944	0.01557998	2.93012	1.32537	0.512933	0	2.888024	0.5529441	0.4470559	5.170826
890	-52.4957	-46.3712	-6.12447	0.620969	0.379031	0.01321633	3.0157	1.48666	0.595787	0	1.392579	0.3790305	0.6209695	4.796309
900	-51.9428	-46.516	-5.42675	0.0337625	0.966238	0.01476444	3.67658	1.34459	0.620933	0	0.7294891	0.9662375	0.03376248	6.425899
910	-52.9419	-46.9963	-5.94562	0.758815	0.241185	0.01634398	3.30977	1.52783	0.513875	0	0.502764	0.2411848	0.7588152	8.942644
920	-52.5218	-47.2207	-5.30116	0.480845	0.519155	0.01372692	3.15109	1.33977	0.469437	0	0.6089315	0.5191553	0.4808447	5.543024
930	-53.1424	-47.4439	-5.69855	0.0112948	0.988705	0.01455811	3.10248	1.57567	0.697497	0	0.7329327	0.9887052	0.01129484	8.42306
940	-52.5043	-45.9913	-6.513	0.686956	0.313044	0.02006653	2.89749	1.55212	0.487389	0	1.222137	0.313044	0.686956	9.885393
950	-52.7143	-46.0048	-6.70953	0.863059	0.136941	0.02629663	2.25008	1.50032	0.380474	0	0.6944481	0.1369413	0.8630587	23.33614
960	-52.365	-45.9567	-6.40825	0.840877	0.159123	0.0250677	2.78351	1.52921	0.364601	0	0.7057376	0.1591225	0.8408775	17.24522
970	-53.1229	-46.1743	-6.94858	0.256142	0.743858	0.01961367	3.14736	1.58583	0.523407	0	1.427631	0.7438584	0.2561416	10.18073
980	-51.5525	-45.9119	-5.64062	0.242295	0.757705	0.01981976	3.14545	1.46561	0.491103	0	0.6854089	0.7577055	0.2422945	8.014809
990	-52.7853	-46.2011	-6.58419	0.168365	0.831635	0.02380501	2.50665	1.47517	0.650212	0	1.121787	0.8316347	0.1683653	12.74106
1000	-53.3009	-46.1614	-7.13959	0.46675	0.53325	0.02933594	3.54766	1.45845	0.662674	0	0.5054847	0.5332502	0.4667498	29.71009
1010	-56.0477	-47.7611	-8.2866	0.0113106	0.988689	0.02494901	2.84122	1.6314	0.620285	0	2.04024	0.9886894	0.01131058	10.58578
1020	-51.892	-46.7505	-5.14148	0.723284	0.276716	0.01689771	2.32889	1.78111	0.672531	0	0.5956973	0.2767158	0.7232842	4.67048
1030	-51.3485	-45.4928	-5.85571	0.493332	0.506668	0.01973408	2.55219	1.62397	0.656298	0	0.8835254	0.5066677	0.4933323	8.760337
1040	-54.3294	-46.6544	-7.67505	0.374701	0.625299	0.03613855	2.47076	1.61354	0.497935	0	0.4705824	0.6252992	0.3747008	46.00645
1050	-52.9985	-46.0921	-6.90638	0.515416	0.484584	0.03034943	3.05827	1.48423	0.48745	0	0.606605	0.4845843	0.5154157	27.54658
1060	-51.9963	-46.1707	-5.82555	0.00944843	0.990552	0.02117114	3.39839	1.7963	0.440045	0	0.8170543	0.9905516	0.009448434	9.083123
1070	-52.7325	-46.1133	-6.61913	0.431016	0.568984	0.02767472	3.52307	1.65683	0.329913	0	0.6025728	0.5689837	0.4310163	20.59843
1080	-54.1567	-46.6863	-7.4704	0.207361	0.792639	0.02897105	3.62897	1.49287	0.359527	0	0.4696306	0.7926393	0.2073607	37.37701
1090	-54.5224	-47.4583	-7.06412	0.53956	0.46044	0.03320555	3.64614	1.33673	0.474052	0	0.8521429	0.4604398	0.5395602	30.33689
1100	-52.6184	-46.9233	-5.69514	0.417284	0.582716	0.01916774	3.49103	1.40362	0.383009	0	0.4925047	0.5827164	0.4172836	6.778207
1110	-53.0488	-45.8728	-7.17595	0.937345	0.0626552	0.02800347	3.68301	1.58694	0.388241	0	0.4704301	0.06265524	0.9373448	27.91589
1120	-54.8304	-47.3702	-7.46024	0.809733	0.190267	0.0358085	2.91093	1.34641	0.606692	0	0.5007732	0.1902666	0.8097334	40.4658
1130	-54.4992	-46.0467	-8.45253	0.493335	0.506665	0.03409794	2.96438	1.47504	0.381623	0	0.3358409	0.5066653	0.4933347	47.82624
1140	-54.4416	-45.5968	-8.84476	0.361662	0.638338	0.03025741	3.5057	1.55382	0.52244	0	0.2663527	0.6383379	0.3616621	32.72989
1150	-56.8718	-49.1084	-7.76341	0.589367	0.410633	0.03612336	2.3982	1.53735	0.529004	0	0.3451138	0.4106327	0.5893673	25.91928
1160	-53.3946	-46.5074	-6.88714	0.273737	0.726263	0.02707066	2.51819	1.74457	0.496831	0	0.6971891	0.7262634	0.2737366	27.86643
1170	-53.7084	-47.8023	-5.90611	0.463218	0.536782	0.01820093	2.31934	1.77617	0.31385	0	0.4256426	0.5367817	0.4632183	6.603638
1180	-52.8165	-46.0815	-6.73501	0.854482	0.145518	0.02691355	3.14356	1.68836	0.558777	0	0.805327	0.1455185	0.8544815	22.77037
1190	-52.4259	-45.7188	-6.70712	0.382076	0.617924	0.02576334	2.79751	1.68112	0.408848	0	0.4697663	0.6179238	0.3820762	17.43042
1200	-54.6551	-48.1266	-6.52847	0.34037	0.65963	0.0202188	2.46693	1.47419	0.604477	0	0.777262	0.6596296	0.3403704	18.8948
1210	-55.8394	-48.6078	-7.23152	0.487166	0.512834	0.03627687	2.37693	1.69519	0.619065	0	0.4542478	0.5128339	0.4871661	27.91684
1220	-55.0726	-47.3342	-7.73838	0.236911	0.763089	0.03078339	3.05932	1.75986	0.581344	0	0.3008613	0.7630888	0.2369112	16.67929
1230	-52.7288	-46.036	-6.69283	0.696299	0.303701	0.02477513	3.21637	1.75674	0.482022	0	1.038582	0.3037015	0.6962985	16.32366
1240	-54.7018	-47.0435	-7.6583	0.534155	0.465845	0.0188544	2.67865	1.74109	0.484839	0	1.723377	0.4658448	0.5341552	11.12084
1250	-53.6668	-47.0068	-6.65996	0.512602	0.487398	0.02242568	2.2547	1.78255	0.502238	0	0.8894987	0.4873977	0.5126023	19.44562
1260	-51.9839	-45.8298	-6.1541	0.0128937	0.987106	0.02301518	2.89453	1.43262	0.68051	0	0.8109471	0.9871063	0.01289368	12.68019
1270	-52.5171	-46.1875	-6.32963	0.593022	0.406978	0.0222347	2.79675	1.42172	0.616834	0	0.4069429	0.4069782	0.5930218	9.216529
