Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	div[5]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	psi[1]	psi[2]	psi[3]	psi[4]	psi[5]	turnover[1]	turnover[2]	turnover[3]	turnover[4]	turnover[5]
23400	-205.76	0	-205.76	-0.505504	0.0392884	-0.04479	-0.00394634	0.0581936	1.86901	0.290912	1.02211	0.145816	0.0994343	2.37452	0.251624	1.0669	0.149762	0.0412407	2.48402	0.164698	1.40794	0.0159587	0.115735	1.27047	0.864948	1.04382	1.02706	0.414754
23500	-182.138	0	-182.138	-0.438238	-0.0219761	-0.289751	0.167085	-0.220923	2.34957	0.344582	1.1542	0.188849	0.205124	2.78781	0.366558	1.44395	0.0217641	0.426048	3.01705	0.126467	1.22212	0.0346351	0.0729606	1.18652	1.06378	1.25104	0.115246	2.07702
23600	-251.891	0	-251.891	0.176067	-0.0583756	-0.16624	0.150007	-0.00850751	2.38785	0.135127	1.03112	0.169067	0.0413806	2.21178	0.193503	1.19736	0.0190602	0.0498881	2.75128	0.101289	1.4056	0.00460769	0.0511753	0.926265	1.432	1.16122	0.112737	1.20559
23700	-199.13	0	-199.13	-0.0122452	0.0278444	-0.134148	0.0402921	0.427403	2.35953	0.382743	1.25635	0.0772998	0.469144	2.37177	0.354899	1.39049	0.0370077	0.0417413	2.22451	0.091884	1.37069	0.0167121	0.0111895	1.00519	0.92725	1.10678	0.478755	0.0889734
23800	-205.552	0	-205.552	-0.235504	0.0366672	-0.380144	0.0357337	0.206703	1.64889	0.304183	0.831881	0.109498	0.264313	1.88439	0.267516	1.21203	0.0737641	0.0576102	3.22121	0.188116	1.84841	0.0471631	0.221224	1.14283	0.879457	1.45697	0.673658	0.217962
23900	-192.244	0	-192.244	0.109072	-0.0676931	-0.128591	0.123396	-0.111256	2.33692	0.1948	1.34541	0.154583	0.00838623	2.22784	0.262493	1.474	0.0311864	0.119642	2.88237	0.167088	2.2355	0.0839297	0.179527	0.953327	1.3475	1.09558	0.201746	14.2665
24000	-211.422	0	-211.422	0.243005	-0.03892	-0.317791	0.0293282	0.038535	2.33575	0.29706	1.16475	0.10833	0.054169	2.09275	0.33598	1.48254	0.0790023	0.015634	2.34167	0.172096	1.32103	0.00914424	0.011068	0.895963	1.13102	1.27284	0.729271	0.288615
24100	-196.564	0	-196.564	0.662559	0.0860532	-0.0888553	0.108763	-0.00783544	2.46783	0.341281	1.17222	0.190397	0.0573079	1.80527	0.255228	1.26108	0.0816345	0.0651433	2.84667	0.154745	1.78597	0.0116977	0.0451614	0.731521	0.747852	1.0758	0.428759	1.13673
24200	-203.074	0	-203.074	-0.548697	-0.092224	-0.114488	0.150479	0.168971	2.37705	0.317966	1.15494	0.198566	0.230129	2.92575	0.41019	1.26942	0.0480871	0.0611582	2.62317	0.146957	1.27305	0.0225826	0.0301381	1.23083	1.29004	1.09913	0.242172	0.265756
24300	-205.217	0	-205.217	0.0396293	0.0331406	0.0190829	0.074045	-0.0928423	2.09463	0.282154	1.46476	0.0883833	0.225639	2.055	0.249014	1.44567	0.0143383	0.318482	2.43402	0.0938646	2.49239	0.0649113	0.0824254	0.98108	0.882545	0.986972	0.162228	1.41146
24400	-162.773	0	-162.773	0.0479656	-0.0251439	0.156038	0.131645	0.0565052	2.09332	0.309368	1.63229	0.41585	0.106936	2.04535	0.334512	1.47625	0.284205	0.050431	2.20443	0.131849	2.07724	0.0713326	0.308925	0.977086	1.08128	0.904405	0.683431	0.471599
24500	-182.544	0	-182.544	-0.460643	0.000958642	-0.225069	0.0812662	0.00747516	2.16881	0.193445	1.18506	0.114383	0.0434612	2.62945	0.192487	1.41013	0.0331167	0.035986	2.91986	0.157591	1.94562	0.0881807	0.311635	1.21239	0.995044	1.18992	0.289525	0.828004
24600	-233.906	0	-233.906	0.0130861	0.0531452	-0.21636	0.277402	-0.0758781	2.49369	0.256872	1.12701	0.321389	0.0586833	2.4806	0.203727	1.34337	0.0439875	0.134561	2.22447	0.114126	1.3812	0.106507	0.0548959	0.994752	0.793106	1.19198	0.136867	2.29301
24700	-203.605	0	-203.605	-0.28445	-0.0480199	-0.106333	0.364477	0.158458	1.82063	0.259044	0.792277	0.548252	0.180988	2.10508	0.307064	0.898609	0.183776	0.0225294	3.04594	0.138265	1.84598	0.0874543	0.0264687	1.15624	1.18537	1.13421	0.335203	0.12448
24800	-213.469	0	-213.469	0.0760652	-0.0751559	-0.361653	0.244265	-0.0749979	2.35203	0.201819	1.38331	0.305781	0.0359121	2.27597	0.276975	1.74496	0.0615164	0.11091	2.948	0.15164	1.42535	0.080068	0.065199	0.96766	1.37239	1.26144	0.201178	3.08837
24900	-242.883	0	-242.883	0.115487	-0.0134949	0.245246	0.259993	0.00916747	1.99763	0.173133	1.33346	0.351801	0.0411816	1.88215	0.186627	1.08821	0.091808	0.0320141	2.36771	0.106224	1.31906	0.110768	0.0749685	0.942188	1.07795	0.816082	0.260966	0.777389
25000	-176.179	0	-176.179	-0.00300244	0.00967378	-0.102034	0.0708515	-0.117478	2.54133	0.310892	1.44613	0.100322	0.0188654	2.54434	0.301218	1.54817	0.0294709	0.136343	3.19114	0.0862691	1.70353	0.115305	0.00351236	1.00118	0.968884	1.07056	0.293762	7.22713
25100	-213.6	0	-213.6	0.085884	-0.0115133	-0.0806423	-0.13344	0.046105	2.06623	0.319702	1.17155	0.127045	0.0924222	1.98035	0.331216	1.25219	0.260485	0.0463172	2.34072	0.0946523	1.86549	0.255621	0.0023052	0.958435	1.03601	1.06883	2.05033	0.501148
25200	-185.306	0	-185.306	0.112699	-0.0492245	-0.0906013	-0.00705134	-0.074089	2.5661	0.314474	1.72212	0.0185337	0.00395191	2.4534	0.363699	1.81273	0.025585	0.0780409	2.42056	0.109727	2.04329	0.00256301	0.001971	0.956081	1.15653	1.05261	1.38046	19.7476
25300	-189.126	0	-189.126	0.243215	0.0167018	-0.172082	0.0753472	-0.206085	2.3797	0.372712	1.20658	0.121118	0.0590131	2.13649	0.35601	1.37866	0.0457712	0.265098	3.68872	0.123862	1.28755	0.0200992	0.00174294	0.897796	0.955189	1.14262	0.377904	4.49219
