Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]
1620	-803.446	0	-803.446	0.0704271	0.025107	0.00857417	0.0780268
1630	-803.179	0	-803.179	0.0842137	0.0123906	0.00725436	0.0932012
1640	-800.323	0	-800.323	0.0926606	0.0181546	0.0151307	0.0942342
1650	-800.527	0	-800.527	0.0803077	0.0237419	0.0060819	0.0780704
1660	-803.889	0	-803.889	0.0842499	0.0222222	0.0120375	0.0865224
1670	-800.024	0	-800.024	0.0756509	0.0214272	0.00525332	0.0422022
1680	-796.428	0	-796.428	0.0946304	0.0142622	0.0115266	0.0139879
1690	-802.868	0	-802.868	0.077114	0.015065	0.0141539	0.0157878
1700	-796.282	0	-796.282	0.0858807	0.017199	0.00800832	0.0369697
1710	-796.607	0	-796.607	0.0942884	0.0131056	0.00990808	0.0503388
1720	-800.332	0	-800.332	0.0795521	0.0173115	0.00760411	0.0837765
1730	-796.331	0	-796.331	0.080275	0.019339	0.00757165	0.0113574
1740	-795.319	0	-795.319	0.0853744	0.0147808	0.00926076	0.0134599
1750	-798.143	0	-798.143	0.0734867	0.0198873	0.0114187	0.0207622
1760	-797.541	0	-797.541	0.0807667	0.0195203	0.0159332	0.0190996
1770	-802.528	0	-802.528	0.0803529	0.0241596	0.0110726	0.00373182
1780	-796.357	0	-796.357	0.0855187	0.0167261	0.00849843	0.0207412
1790	-797.353	0	-797.353	0.0794777	0.0184337	0.00612027	0.0198906
1800	-796.209	0	-796.209	0.0765366	0.0161036	0.0103963	0.0241969
1810	-795.693	0	-795.693	0.0940147	0.0149974	0.0116665	0.0302796
1820	-799.868	0	-799.868	0.0941602	0.012721	0.0046289	0.0218632
1830	-801.291	0	-801.291	0.0893168	0.0132849	0.0107275	0.0569885
1840	-795.168	0	-795.168	0.0774214	0.0180342	0.00888956	0.0199997
1850	-797.499	0	-797.499	0.0872469	0.0204085	0.00580371	0.0133844
1860	-799.578	0	-799.578	0.0888566	0.0173942	0.00576846	0.0365685
1870	-800.308	0	-800.308	0.0924688	0.0168468	0.00747127	0.0371351
1880	-802.155	0	-802.155	0.0944957	0.00903878	0.0142334	0.0543739
1890	-800.821	0	-800.821	0.0881367	0.0132156	0.00627906	0.0274967
1900	-796.4	0	-796.4	0.0857641	0.01334	0.00531003	0.0290941
1910	-794.346	0	-794.346	0.087209	0.0150705	0.00812648	0.00510193
1920	-797.331	0	-797.331	0.086424	0.0121565	0.013704	0.0229497
1930	-800.737	0	-800.737	0.0948396	0.0199384	0.0181127	0.0361845
1940	-798.863	0	-798.863	0.0765283	0.0242404	0.0130159	0.0281609
1950	-801.78	0	-801.78	0.0855835	0.0118344	0.0114455	0.0312996
1960	-797.635	0	-797.635	0.0785945	0.0208989	0.00880389	0.0450125
1970	-799.961	0	-799.961	0.104876	0.0181184	0.0106985	0.0521261
1980	-799.574	0	-799.574	0.107661	0.0172531	0.00914689	0.01458
1990	-803.788	0	-803.788	0.123566	0.0141793	0.00623093	0.0530035
2000	-807.498	0	-807.498	0.139791	0.0188096	0.00347927	0.0400068
2010	-803.2	0	-803.2	0.0941027	0.0135459	0.0113521	0.106047
2020	-797.213	0	-797.213	0.0787153	0.0222275	0.0088535	0.0341406
2030	-796.943	0	-796.943	0.0898681	0.0143026	0.00897738	0.03054
2040	-799.894	0	-799.894	0.0970944	0.0195888	0.0145021	0.018264
2050	-797.258	0	-797.258	0.0992278	0.0140392	0.00826474	0.00986822
2060	-801.352	0	-801.352	0.0923004	0.0198759	0.00551968	0.0287682
2070	-798.002	0	-798.002	0.0891981	0.0177273	0.0134419	0.0119475
2080	-799.671	0	-799.671	0.0908446	0.020914	0.0148464	0.00761611
2090	-796.676	0	-796.676	0.0961132	0.0158916	0.00586234	0.00441047
2100	-799.022	0	-799.022	0.101694	0.0153086	0.00736275	0.013732
2110	-798.6	0	-798.6	0.0835209	0.0189033	0.0205923	0.00618404
2120	-796.354	0	-796.354	0.081998	0.0169937	0.0104879	0.0165034
2130	-798.272	0	-798.272	0.0982708	0.0150975	0.00907128	0.0130572
2140	-797.869	0	-797.869	0.0721875	0.0171017	0.0112448	0.0114403
2150	-797.876	0	-797.876	0.0853766	0.0234364	0.0132948	0.00715661
2160	-798.506	0	-798.506	0.0902861	0.0117558	0.0100783	0.00491737
2170	-800.602	0	-800.602	0.102267	0.0107347	0.0103734	0.011318
2180	-801.772	0	-801.772	0.0883963	0.0190051	0.0032639	0.0550601
2190	-799.935	0	-799.935	0.0806459	0.0135149	0.00398937	0.0721964
2200	-797.152	0	-797.152	0.0882346	0.0119783	0.0082361	0.0363849
2210	-797.337	0	-797.337	0.0806953	0.0157509	0.00583836	0.0477042
2220	-796.719	0	-796.719	0.0802499	0.0222796	0.00580597	0.0209533
2230	-802.516	0	-802.516	0.0971469	0.0125953	0.0129448	0.014402
2240	-796.168	0	-796.168	0.0869812	0.0118907	0.00677378	0.00880755
2250	-798.04	0	-798.04	0.0732777	0.015737	0.00694604	0.0415108
2260	-800.966	0	-800.966	0.0744903	0.0200792	0.0151727	0.0419319
2270	-798.587	0	-798.587	0.0995646	0.0232651	0.00764732	0.0159931
2280	-798.15	0	-798.15	0.0936274	0.0155302	0.00796125	0.0307296
2290	-796.579	0	-796.579	0.0999358	0.0153076	0.0121118	0.0128646
2300	-799.535	0	-799.535	0.0654373	0.0186296	0.0102083	0.0154768
2310	-799.108	0	-799.108	0.0908651	0.00836233	0.00639318	0.0404662
2320	-807.011	0	-807.011	0.0869152	0.0160679	0.00608486	0.0345638
2330	-798.492	0	-798.492	0.0805554	0.0173159	0.0105209	0.016656
2340	-798.836	0	-798.836	0.0778053	0.0103038	0.00653244	0.0327725
2350	-799.545	0	-799.545	0.0856016	0.0133533	0.0128527	0.0415871
2360	-797.136	0	-797.136	0.0736957	0.0154661	0.00890237	0.0440104
2370	-795.769	0	-795.769	0.0756564	0.0136624	0.00795145	0.0293483
2380	-797.919	0	-797.919	0.0852777	0.0122336	0.0044463	0.0235497
2390	-803.805	0	-803.805	0.10001	0.00735132	0.0143995	0.00820895
2400	-797.925	0	-797.925	0.0822675	0.0133693	0.00859082	0.00334226
2410	-797.532	0	-797.532	0.0848714	0.016171	0.00843349	0.00416499
2420	-795.408	0	-795.408	0.0926863	0.0169353	0.0126406	0.00542778
2430	-795.068	0	-795.068	0.0813681	0.014395	0.00720847	0.0114661
2440	-801.153	0	-801.153	0.0817993	0.0135133	0.0215817	0.00296588
2450	-801.727	0	-801.727	0.0926721	0.0112593	0.0139758	0.0232441
2460	-799.334	0	-799.334	0.0817862	0.0145498	0.0101925	0.0230629
2470	-801.494	0	-801.494	0.124476	0.0175795	0.00948653	0.00367598
2480	-800.322	0	-800.322	0.112936	0.0169845	0.0116174	0.00499577
2490	-797.764	0	-797.764	0.107842	0.020372	0.0101056	0.00291791
2500	-800.637	0	-800.637	0.0973144	0.0112318	0.00771131	0.00198055
2510	-802.27	0	-802.27	0.0849021	0.0205943	0.010148	0.00292739
2520	-798.585	0	-798.585	0.0794062	0.017694	0.018703	0.00265106
2530	-795.403	0	-795.403	0.0910855	0.0182986	0.00751629	0.0011939
2540	-799.556	0	-799.556	0.0869019	0.0267384	0.00413146	0.00378133
2550	-801.157	0	-801.157	0.0971426	0.0228469	0.00526626	0.00327972
2560	-796.311	0	-796.311	0.09293	0.0159021	0.00514055	0.00804714
2570	-795.953	0	-795.953	0.0800988	0.0133832	0.0104263	0.0161045
2580	-803.418	0	-803.418	0.0867549	0.0147689	0.00756973	0.00639078
2590	-800.611	0	-800.611	0.0991985	0.0160491	0.0109242	0.021903
2600	-801.251	0	-801.251	0.1032	0.016919	0.00722222	0.00307306
2610	-797.783	0	-797.783	0.0922262	0.017311	0.00785653	0.00797269
2620	-795.16	0	-795.16	0.0853592	0.0170007	0.00696615	0.00889656
2630	-799.4	0	-799.4	0.0869461	0.0112505	0.0065983	0.00817308
2640	-797.95	0	-797.95	0.108302	0.0156134	0.00888807	0.0204496
2650	-797.921	0	-797.921	0.0839475	0.0232462	0.011244	0.0105964
2660	-797.342	0	-797.342	0.0866996	0.0110765	0.00971583	0.0377211
2670	-799.442	0	-799.442	0.0830056	0.0200954	0.0134891	0.0293974
2680	-797.595	0	-797.595	0.0850398	0.0148906	0.0117486	0.0241157
2690	-797.08	0	-797.08	0.080095	0.0136617	0.0150351	0.0201871
2700	-797.858	0	-797.858	0.0746201	0.0128053	0.00945741	0.00766069
2710	-801.516	0	-801.516	0.0892104	0.0217645	0.0100714	0.00265546
2720	-795.827	0	-795.827	0.0978418	0.0123148	0.00921665	0.00284219
2730	-795.52	0	-795.52	0.0844763	0.0171711	0.011721	0.00317995
2740	-796.935	0	-796.935	0.105474	0.0208703	0.00623497	0.00520668
2750	-794.784	0	-794.784	0.0952416	0.0162576	0.00714716	0.0039391
2760	-795.966	0	-795.966	0.0865991	0.0160672	0.00607764	0.00516583
2770	-797.542	0	-797.542	0.0643392	0.0135402	0.00983876	0.0143384
2780	-803.786	0	-803.786	0.063173	0.0167316	0.00791236	0.088245
2790	-799.14	0	-799.14	0.0768754	0.0177296	0.0115604	0.0812907
2800	-802.172	0	-802.172	0.0765674	0.0131971	0.00955771	0.0488163
2810	-797.496	0	-797.496	0.0896656	0.0200659	0.00996648	0.0305063
2820	-796.441	0	-796.441	0.0759843	0.0145152	0.00726005	0.0202662
2830	-798.686	0	-798.686	0.0728364	0.0124645	0.00942749	0.0204236
2840	-797.707	0	-797.707	0.0833926	0.0191699	0.00976553	0.0274211
2850	-799.516	0	-799.516	0.0756911	0.0125452	0.00936746	0.0312449
2860	-802.136	0	-802.136	0.0800261	0.0176253	0.0199677	0.0456335
2870	-800.782	0	-800.782	0.0768829	0.0198592	0.0131735	0.0251271
2880	-798.536	0	-798.536	0.0734696	0.0150312	0.0113885	0.00369435
2890	-798.143	0	-798.143	0.107157	0.0132769	0.00642216	0.00355285
2900	-797.148	0	-797.148	0.0831792	0.0170574	0.00590266	0.00199782
2910	-796.234	0	-796.234	0.0828947	0.0139113	0.00772429	0.00444464
2920	-800.324	0	-800.324	0.0839006	0.0120275	0.0125915	0.00950782
2930	-802.111	0	-802.111	0.0764885	0.0140254	0.0114004	0.0334079
2940	-799.142	0	-799.142	0.0944072	0.0199903	0.0113819	0.0465233
2950	-798.106	0	-798.106	0.0985611	0.0148127	0.00914523	0.0416253
2960	-799.16	0	-799.16	0.098945	0.0194376	0.0116277	0.0531187
2970	-795.858	0	-795.858	0.0995824	0.0130596	0.00883701	0.0269472
2980	-807.612	0	-807.612	0.0932145	0.0311142	0.00492055	0.0136497
2990	-798	0	-798	0.0780612	0.0127727	0.00824347	0.00236566
3000	-801.093	0	-801.093	0.0635829	0.0153898	0.00854588	0.00268329
3010	-796.582	0	-796.582	0.0773427	0.0153915	0.0107012	0.00249164
3020	-797.927	0	-797.927	0.0984988	0.0112142	0.00902156	0.00249288
3030	-798.456	0	-798.456	0.0891168	0.0196838	0.00676961	0.00155832
3040	-796.69	0	-796.69	0.0782591	0.0192499	0.00673087	0.00239138
3050	-800.665	0	-800.665	0.0744494	0.0126384	0.0143803	0.00255521
3060	-798.947	0	-798.947	0.0824681	0.0122506	0.0114581	0.00396962
3070	-797.545	0	-797.545	0.0641709	0.0140109	0.00753884	0.00381885
3080	-795.084	0	-795.084	0.0797	0.0205543	0.0103811	0.00305816
3090	-801.088	0	-801.088	0.0838187	0.00933461	0.0191118	0.00286429
3100	-798.558	0	-798.558	0.091992	0.0173225	0.0132569	0.00322819
3110	-799.686	0	-799.686	0.0971893	0.0160548	0.00609019	0.0163553
3120	-798.879	0	-798.879	0.107058	0.0155568	0.00458163	0.0126755
3130	-798.451	0	-798.451	0.098568	0.0152376	0.00765839	0.0347317
3140	-805.522	0	-805.522	0.0790169	0.0160093	0.0107534	0.158124
3150	-800.416	0	-800.416	0.0818445	0.0104453	0.012574	0.0535737
3160	-800.977	0	-800.977	0.0781266	0.0107253	0.0124319	0.0542524
3170	-800.956	0	-800.956	0.0856057	0.0153068	0.0118625	0.0596156
3180	-802.357	0	-802.357	0.0682027	0.017269	0.0108004	0.0677459
3190	-798.758	0	-798.758	0.082215	0.015501	0.0141251	0.0669761
3200	-799.741	0	-799.741	0.0717312	0.0156218	0.0178495	0.0205706
3210	-801.769	0	-801.769	0.106227	0.0133266	0.0112398	0.0215286
3220	-803.765	0	-803.765	0.0997411	0.0149638	0.00418332	0.0320791
3230	-798.145	0	-798.145	0.0770883	0.0195475	0.00472641	0.0343001
3240	-800.546	0	-800.546	0.0687804	0.0116246	0.00734313	0.0398517
3250	-801.866	0	-801.866	0.0709541	0.0131276	0.0061584	0.0629728
3260	-803.537	0	-803.537	0.0778878	0.0171746	0.00944499	0.0531712
3270	-800.748	0	-800.748	0.072517	0.014758	0.00961578	0.0429531
3280	-802.761	0	-802.761	0.0822501	0.0166823	0.00744499	0.0391462
3290	-801.405	0	-801.405	0.0845589	0.0128428	0.0125349	0.0494133
3300	-800.67	0	-800.67	0.0658063	0.0127007	0.0177134	0.00891453
3310	-805.997	0	-805.997	0.0848083	0.0163783	0.00617308	0.00588481
3320	-801.972	0	-801.972	0.0775087	0.0246246	0.00380727	0.0161084
3330	-798.244	0	-798.244	0.0708814	0.01273	0.00816155	0.042125
3340	-798.776	0	-798.776	0.0904013	0.0141609	0.0121419	0.0472653
3350	-797.437	0	-797.437	0.0754663	0.0172348	0.0101621	0.0378983
3360	-800.482	0	-800.482	0.0759821	0.0198366	0.00985483	0.0397506
3370	-798.093	0	-798.093	0.0839425	0.0172918	0.010686	0.0383229
3380	-799.625	0	-799.625	0.0936547	0.0197487	0.0140511	0.0308359
3390	-798.526	0	-798.526	0.0723261	0.0160748	0.00998566	0.0345627
3400	-799.397	0	-799.397	0.0660276	0.0157642	0.00719235	0.0193592
3410	-798.37	0	-798.37	0.0854578	0.0171721	0.00382717	0.0206363
3420	-797.519	0	-797.519	0.103132	0.0131285	0.00721925	0.00614992
3430	-795.903	0	-795.903	0.0913485	0.0148734	0.0123077	0.00286663
3440	-798.091	0	-798.091	0.0867412	0.0203328	0.0128989	0.032132
3450	-796.884	0	-796.884	0.0835409	0.0134921	0.0131137	0.00947628
3460	-795.827	0	-795.827	0.0736352	0.015985	0.00794387	0.00604155
3470	-804.404	0	-804.404	0.0723872	0.0172025	0.00993034	0.0158653
3480	-802.426	0	-802.426	0.0797501	0.0211884	0.0142012	0.0221638
3490	-807.307	0	-807.307	0.0725335	0.0282992	0.0104587	0.0137384
3500	-800.739	0	-800.739	0.0922022	0.011054	0.00676309	0.0244525
3510	-801.929	0	-801.929	0.0707302	0.0276095	0.0117612	0.0179351
3520	-798.485	0	-798.485	0.0908396	0.0173545	0.00415963	0.0108192
3530	-795.058	0	-795.058	0.0846717	0.0159774	0.00562304	0.000822098
3540	-799.352	0	-799.352	0.0798789	0.0142495	0.00872497	0.00187262
3550	-799.688	0	-799.688	0.0756431	0.0235533	0.00607394	0.000916016
3560	-797.698	0	-797.698	0.0816594	0.0186885	0.00884016	0.00161418
3570	-796.932	0	-796.932	0.0830909	0.0193623	0.00954545	0.00132791
3580	-799.142	0	-799.142	0.0765558	0.0233746	0.0188511	0.00340927
3590	-796.581	0	-796.581	0.0802963	0.00994278	0.0116705	0.002169
3600	-802.187	0	-802.187	0.0771198	0.00914161	0.0112425	0.00145043
3610	-799.932	0	-799.932	0.111999	0.0134247	0.00646241	0.000286809
3620	-795.592	0	-795.592	0.0853221	0.0200037	0.0116488	0.000436724
