Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	psi[1]	psi[2]	psi[3]	psi[4]	turnover[1]	turnover[2]	turnover[3]	turnover[4]
100	-803.676	0	-803.676	0.0766327	0.0014888	0.0247708	0.110639	0.204009	0.024682	0.0371934	0.117985	0.127376	0.0231932	0.0124226	0.00734622	0.000611079	0.00213685	0.00322181	0.00585495	0.624366	0.939681	0.334	0.0622641
110	-803.448	0	-803.448	0.0846347	0.00275454	0.0164882	0.0907547	0.206188	0.0176211	0.0302674	0.097532	0.121554	0.0148665	0.0137792	0.00677728	0.000332956	0.00250252	0.00415329	0.00165863	0.589527	0.843679	0.455249	0.0694877
120	-802.388	0	-802.388	0.107094	-0.00314753	0.0233944	0.0725406	0.191558	0.017991	0.0355943	0.0842709	0.084464	0.0211386	0.0121999	0.0117303	0.000391343	0.0039745	0.00233045	0.00219529	0.440931	1.17495	0.342749	0.139197
130	-800.311	0	-800.311	0.0920175	0.00109734	0.0204921	0.0688853	0.180956	0.0187824	0.0333467	0.0999313	0.0889386	0.017685	0.0128546	0.031046	0.00028021	0.00272124	0.00312413	0.00301118	0.491493	0.941576	0.385483	0.310673
140	-804.939	0	-804.939	0.111744	0.00592128	0.0202574	0.0761913	0.196641	0.0253686	0.0359419	0.0976026	0.0848974	0.0194473	0.0156845	0.0214113	0.000278791	0.00196819	0.00400478	0.009461	0.431738	0.76659	0.436384	0.219373
150	-799.94	0	-799.94	0.0751127	0.0215395	0.0178733	0.106143	0.148184	0.0446578	0.0281672	0.119202	0.0730714	0.0231183	0.0102939	0.0130596	0.000422425	0.00205901	0.00393351	0.00350704	0.493113	0.517677	0.365457	0.109558
160	-805.208	0	-805.208	0.056087	0.0229261	0.0188727	0.0879244	0.132641	0.034939	0.0294846	0.0976253	0.0765545	0.0120129	0.010612	0.00970083	0.000993309	0.00232192	0.00706688	0.00624194	0.577153	0.343825	0.359915	0.0993681
170	-800.166	0	-800.166	0.0705116	0.00567673	0.0239495	0.0915932	0.150083	0.0181264	0.0323178	0.118329	0.0795713	0.0124496	0.00836828	0.0267356	0.000678508	0.00298712	0.00376416	0.0108415	0.530182	0.686825	0.258938	0.225943
180	-801.441	0	-801.441	0.0356423	0.00590658	0.0281154	0.107472	0.13281	0.0305196	0.0362078	0.143552	0.0971675	0.024613	0.00809242	0.0360797	0.000794636	0.0020721	0.00272913	0.00498522	0.731629	0.806466	0.2235	0.251335
190	-799.066	0	-799.066	0.0309029	0.000725928	0.018734	0.109992	0.129406	0.0152473	0.0281234	0.125349	0.0985027	0.0145214	0.00938937	0.0153565	0.00225831	0.00266742	0.00299967	0.00416266	0.761193	0.95239	0.333864	0.12251
200	-802.98	0	-802.98	0.056174	-0.00501891	0.0262311	0.0675769	0.136916	0.0211526	0.0399322	0.118108	0.0807417	0.0261715	0.0137011	0.0505308	0.0013913	0.00295505	0.00262518	0.00502417	0.589719	1.23727	0.343109	0.427837
210	-800.012	0	-800.012	0.0604084	-0.00113735	0.0273273	0.111804	0.137366	0.0141416	0.0357635	0.148826	0.0769573	0.0152789	0.00843621	0.0370214	0.00108578	0.00341348	0.00351611	0.00114731	0.560237	1.08043	0.235889	0.248757
220	-800.44	0	-800.44	0.0358735	0.00495152	0.0201808	0.0871242	0.134974	0.0155042	0.0244583	0.120675	0.0991009	0.0105526	0.00427751	0.0335509	0.00122887	0.0026749	0.00342209	0.00358318	0.73422	0.680632	0.17489	0.278027
230	-798.801	0	-798.801	0.048289	0.0109754	0.0173984	0.104522	0.137941	0.0224601	0.0304351	0.135012	0.0896517	0.0114848	0.0130367	0.0304894	0.000768355	0.00303443	0.00462356	0.00145198	0.649929	0.51134	0.428344	0.225828
240	-799.844	0	-799.844	0.0446267	0.00475872	0.0176838	0.0900504	0.126539	0.0280188	0.0343262	0.140063	0.0819122	0.0232601	0.0166424	0.0500125	0.000848638	0.00288368	0.0030593	0.00082751	0.647328	0.83016	0.48483	0.357072
250	-805.483	0	-805.483	0.0708836	0.00557355	0.0251802	0.0795783	0.130057	0.017073	0.0389697	0.107826	0.0591737	0.0114994	0.0137895	0.0282476	0.00110923	0.00318161	0.00253256	0.00304018	0.454982	0.673546	0.353852	0.261974
260	-794.931	0	-794.931	0.0549112	0.0117755	0.0150429	0.0976275	0.128396	0.0278543	0.0233426	0.113269	0.0734847	0.0160788	0.00829975	0.0156418	0.000910627	0.00251123	0.00364018	0.0013866	0.572329	0.577247	0.355562	0.138094
270	-805.001	0	-805.001	0.00803009	0.0290403	0.0107712	0.0922362	0.0946771	0.0467367	0.0229082	0.117442	0.086647	0.0176964	0.012137	0.0252058	0.00108156	0.00225954	0.00441671	0.00330354	0.915184	0.37864	0.529809	0.214624
280	-805.699	0	-805.699	0.018755	0.0168598	0.0253507	0.0741583	0.124715	0.0373424	0.0398459	0.105182	0.10596	0.0204826	0.0144952	0.0310241	0.000929445	0.00101515	0.00251959	0.00544924	0.849617	0.548507	0.363781	0.294955
290	-800.544	0	-800.544	0.0270989	0.00888045	0.0221734	0.0828644	0.121044	0.0251739	0.0288181	0.1084	0.0939448	0.0162934	0.00664465	0.0255351	0.000767432	0.00193415	0.00257513	0.00528358	0.776123	0.647236	0.230572	0.235564
300	-797.492	0	-797.492	0.0252559	0.0131788	0.0231324	0.081908	0.12067	0.0296567	0.0305529	0.104132	0.0954145	0.0164779	0.00742054	0.0222241	0.00128696	0.00217591	0.00305783	0.00443113	0.790704	0.555622	0.242875	0.213423
310	-800.27	0	-800.27	0.0439246	0.00700482	0.0163794	0.0584531	0.111931	0.018879	0.0239808	0.0890488	0.068006	0.0118742	0.00760147	0.0305957	0.00156483	0.00342287	0.00560428	0.00223529	0.607573	0.628963	0.316981	0.343584
320	-801.33	0	-801.33	0.0719609	0.000880908	0.0186262	0.0785532	0.159875	0.0168866	0.0281717	0.111476	0.087914	0.0160056	0.0095455	0.0329227	0.00184456	0.00440261	0.00321158	0.00158485	0.549893	0.947834	0.338833	0.295335
330	-798.54	0	-798.54	0.039412	0.00164726	0.0166426	0.0753982	0.137343	0.0217801	0.0258605	0.100859	0.097931	0.0201329	0.00921788	0.0254607	0.00204639	0.00296283	0.00321714	0.00202399	0.71304	0.924369	0.356446	0.252439
340	-798.02	0	-798.02	0.0592498	0.0047877	0.0213261	0.0729872	0.148783	0.0184715	0.0301304	0.13633	0.0895335	0.0136838	0.00880431	0.0633431	0.00129849	0.00324278	0.00302344	0.0026682	0.601771	0.740806	0.292206	0.464629
350	-802.311	0	-802.311	0.029537	0.012312	0.0256476	0.103545	0.130749	0.0240335	0.0438583	0.117312	0.101211	0.0117215	0.0182107	0.0137669	0.000947718	0.00169185	0.00197992	0.00249227	0.774093	0.487716	0.415216	0.117353
360	-798.611	0	-798.611	0.0449664	0.00136608	0.0166059	0.103451	0.122168	0.0207375	0.0305487	0.144441	0.0772018	0.0193714	0.0139428	0.0409897	0.0019316	0.00292783	0.00250613	0.00211792	0.631931	0.934125	0.456412	0.283783
370	-798.74	0	-798.74	0.0389348	0.0150289	0.016954	0.0712652	0.136182	0.0260305	0.0293034	0.108919	0.0972473	0.0110016	0.0123495	0.0376533	0.00111402	0.0024172	0.0031281	0.00300297	0.714098	0.422643	0.421434	0.345702
380	-797.917	0	-797.917	0.0360429	0.0113048	0.0267884	0.0855102	0.104739	0.0290998	0.0361499	0.108978	0.0686964	0.017795	0.00936147	0.0234679	0.000705365	0.00157309	0.00293797	0.0020673	0.65588	0.611517	0.258963	0.215345
390	-799.729	0	-799.729	0.0488739	0.00431271	0.0224828	0.108364	0.111444	0.020973	0.0360436	0.126198	0.0625699	0.0166603	0.0135608	0.0178342	0.00101979	0.00208529	0.00175039	0.00226228	0.561448	0.794368	0.376233	0.141319
400	-794.549	0	-794.549	0.0471389	0.0103114	0.0217739	0.0977127	0.132929	0.0248461	0.0305491	0.11792	0.0857897	0.0145347	0.00877522	0.0202074	0.0010879	0.00243381	0.00364487	0.00163442	0.645382	0.584987	0.287249	0.171365
410	-799.596	0	-799.596	0.0817058	0.0020418	0.0148478	0.0868122	0.174211	0.0161067	0.0224385	0.134212	0.0925048	0.0140649	0.00759071	0.0473999	0.0010945	0.00479646	0.00348536	0.0016527	0.530994	0.873233	0.338289	0.353172
420	-799.414	0	-799.414	0.0611736	0.0036454	0.0229983	0.0862561	0.167205	0.013925	0.0328344	0.0943274	0.106032	0.0102796	0.00983616	0.00807127	0.00105694	0.00300856	0.00265112	0.00189886	0.634141	0.738212	0.299568	0.0855666
430	-802.794	0	-802.794	0.0511094	-0.00189761	0.0268494	0.0853687	0.156066	0.0239903	0.0301895	0.0884251	0.104957	0.0258879	0.00334009	0.00305637	0.000850222	0.00342505	0.0034925	0.0034788	0.672514	1.0791	0.110637	0.0345645
440	-799.957	0	-799.957	0.0756653	0.0034379	0.013518	0.102785	0.157382	0.0164804	0.0185704	0.107923	0.0817168	0.0130425	0.00505236	0.00513762	0.000846628	0.00225161	0.00449959	0.00108716	0.519226	0.791395	0.272066	0.0476045
450	-797.6	0	-797.6	0.0568719	0.00367729	0.0182679	0.124381	0.126512	0.0164322	0.0259467	0.137632	0.0696402	0.012755	0.00767882	0.0132513	0.0010618	0.00280422	0.00406565	0.00101878	0.550463	0.776215	0.295946	0.0962806
460	-800.342	0	-800.342	0.0611261	0.011288	0.0162497	0.07775	0.129017	0.0330025	0.0229734	0.126558	0.067891	0.0217146	0.00672375	0.0488079	0.000983359	0.00303719	0.00440313	0.00463912	0.526217	0.657967	0.292675	0.385657
470	-805.899	0	-805.899	0.0410264	0.0254846	0.0197318	0.0847776	0.122138	0.0352241	0.0233032	0.118762	0.081112	0.00973953	0.00357142	0.0339842	0.000956923	0.00279922	0.00507776	0.0103891	0.664099	0.276501	0.153259	0.286154
480	-801.951	0	-801.951	0.0411327	0.00868864	0.0178538	0.0730971	0.116364	0.0289635	0.022997	0.124333	0.0752315	0.0202748	0.00514326	0.0512361	0.00150048	0.00245616	0.00477505	0.00746453	0.646517	0.700014	0.223649	0.412087
490	-800.368	0	-800.368	0.0269685	0.00762329	0.0209858	0.086615	0.105588	0.0306736	0.0301684	0.161655	0.0786194	0.0230503	0.00918257	0.0750403	0.00125172	0.00194236	0.0020162	0.00192441	0.744587	0.75147	0.304378	0.464199
500	-800.962	0	-800.962	0.0103429	0.0237912	0.0163339	0.0859795	0.0967551	0.037056	0.0213709	0.108576	0.0864122	0.0132648	0.0050369	0.0225968	0.00150763	0.00254817	0.00421418	0.00150468	0.893102	0.357967	0.23569	0.208119
510	-798.964	0	-798.964	0.0632889	-0.00205738	0.0234738	0.0884796	0.1311	0.0173221	0.0303183	0.105824	0.0678108	0.0193795	0.00684455	0.0173441	0.000617761	0.00316667	0.00282212	0.000581584	0.517246	1.11877	0.225756	0.163896
520	-797.205	0	-797.205	0.0404951	0.0132495	0.0218583	0.102038	0.139065	0.0284969	0.0312701	0.119282	0.0985697	0.0152474	0.00941178	0.0172442	0.000739799	0.00272599	0.00355923	0.000715899	0.708804	0.535056	0.300984	0.144566
530	-798.946	0	-798.946	0.068641	0.016021	0.0110639	0.078703	0.14714	0.0299507	0.0223344	0.101138	0.0784993	0.0139297	0.0112705	0.0224354	0.000715983	0.00436312	0.00460663	0.00111756	0.5335	0.465089	0.504625	0.221829
540	-801.461	0	-801.461	0.0555363	0.010182	0.00777	0.0965468	0.133004	0.0308219	0.0216764	0.118649	0.0774681	0.0206399	0.0139064	0.0221018	0.00117231	0.004242	0.00510146	0.00263813	0.582448	0.66965	0.641546	0.18628
550	-797.64	0	-797.64	0.0488044	0.00757504	0.0255982	0.059926	0.136254	0.0250005	0.0311161	0.0848488	0.0874494	0.0174255	0.00551789	0.0249228	0.00112455	0.00307956	0.00401119	0.00200031	0.641813	0.697005	0.177332	0.293732
560	-799.574	0	-799.574	0.0561246	0.0158434	0.0188092	0.0761446	0.14663	0.0303701	0.0297696	0.0816028	0.0905052	0.0145267	0.0109604	0.0054582	0.00114177	0.00259529	0.00535803	0.00418346	0.617236	0.478323	0.368175	0.0668875
570	-798.588	0	-798.588	0.0371856	0.00949809	0.0141303	0.114389	0.116907	0.0242712	0.023869	0.119207	0.0797218	0.0147731	0.0097387	0.00481783	0.00110761	0.00415136	0.00327204	0.00325165	0.681923	0.608669	0.408006	0.0404157
580	-796.331	0	-796.331	0.0263696	0.0090962	0.0174061	0.0879189	0.10542	0.0238154	0.0271897	0.0936606	0.0790506	0.0147192	0.00978359	0.00574172	0.00187128	0.00263292	0.00452229	0.00183663	0.749862	0.618054	0.359827	0.0613034
590	-795.945	0	-795.945	0.0709822	0.00650169	0.0225068	0.101584	0.152277	0.0235229	0.0357507	0.10426	0.0812951	0.0170212	0.013244	0.00267651	0.00068315	0.00204002	0.00400039	0.00278541	0.533862	0.723602	0.370453	0.0256715
600	-799.631	0	-799.631	0.0767409	0.0119528	0.0153263	0.0920109	0.145919	0.0295432	0.0238267	0.0987359	0.0691779	0.0175905	0.00850043	0.00672503	0.000926328	0.00243246	0.00323331	0.00480455	0.474085	0.595414	0.35676	0.0681113
610	-797.832	0	-797.832	0.0491531	-0.00129902	0.0251624	0.0782864	0.140936	0.0164788	0.0309039	0.095891	0.0917831	0.0177778	0.00574154	0.0176045	0.00192233	0.0029475	0.00314029	0.0014978	0.651239	1.07883	0.185787	0.183589
620	-801.655	0	-801.655	0.0161528	0.00110874	0.0164559	0.12281	0.09525	0.0180603	0.0238806	0.143908	0.0790972	0.0169515	0.00742474	0.0210978	0.00269876	0.00262178	0.00458871	0.00232187	0.830417	0.938609	0.310911	0.146606
630	-798.523	0	-798.523	0.016136	0.00743381	0.025148	0.0936718	0.104998	0.0191571	0.0335667	0.105188	0.0888625	0.0117233	0.00841873	0.0115166	0.00176232	0.00176005	0.00285248	0.000849152	0.846322	0.611955	0.250806	0.109486
640	-808.252	0	-808.252	0.00678026	0.0172744	0.00990817	0.0856194	0.102576	0.0372804	0.0295966	0.111579	0.0957961	0.020006	0.0196884	0.0259599	0.00167997	0.00123633	0.00296978	0.00151096	0.9339	0.536635	0.665226	0.232659
650	-798.487	0	-798.487	0.0582118	0.0101982	0.0219018	0.11795	0.126054	0.0257599	0.0323819	0.161791	0.0678425	0.0155617	0.0104802	0.0438407	0.00067624	0.00171997	0.00305845	0.00210204	0.538201	0.604106	0.323642	0.270972
660	-795.763	0	-795.763	0.0469925	0.00438875	0.0235221	0.0843033	0.138116	0.0205355	0.0298869	0.109387	0.0911233	0.0161468	0.00636471	0.0250837	0.000874659	0.00263911	0.0029374	0.00263356	0.65976	0.786285	0.21296	0.229311
670	-801.109	0	-801.109	0.0894884	0.00566461	0.02707	0.0821249	0.182858	0.0239026	0.0325888	0.0868797	0.0933694	0.0182379	0.00551881	0.00475486	0.000805274	0.00241371	0.0030975	0.00341324	0.510612	0.763012	0.169347	0.0547292
680	-797.65	0	-797.65	0.0631151	0.00164948	0.0234046	0.0658851	0.150393	0.0224865	0.0285427	0.12692	0.0872774	0.020837	0.00513806	0.0610353	0.0010515	0.00265466	0.00374141	0.00189866	0.580331	0.926646	0.180013	0.480894
690	-795.535	0	-795.535	0.0583596	0.00376393	0.0247474	0.084739	0.139527	0.0170137	0.0323614	0.110394	0.0811673	0.0132498	0.00761401	0.0256554	0.000848056	0.00275641	0.00357601	0.00183565	0.581732	0.778771	0.235281	0.232397
700	-798.108	0	-798.108	0.0379521	0.0150913	0.0209662	0.0952067	0.123095	0.0251682	0.0339588	0.104093	0.0851433	0.0100769	0.0129925	0.00888635	0.000736077	0.0023483	0.00275916	0.00204319	0.691686	0.400381	0.382598	0.0853693
710	-798.737	0	-798.737	0.07556	0.0119844	0.0145041	0.0969303	0.147842	0.0240225	0.0239431	0.103622	0.072282	0.0120381	0.00943903	0.00669193	0.000432737	0.00368398	0.00252104	0.00113533	0.488914	0.501117	0.394227	0.0645801
720	-796.409	0	-796.409	0.0826352	0.00570491	0.0221014	0.096104	0.16873	0.018369	0.0277763	0.106983	0.0860945	0.0126641	0.00567497	0.0108786	0.000793671	0.00348887	0.00392828	0.00122589	0.510251	0.689427	0.20431	0.101685
730	-800.537	0	-800.537	0.0347371	0.00427931	0.0227307	0.11242	0.121553	0.0228152	0.0315874	0.117799	0.0868162	0.0185359	0.00885669	0.00537928	0.000979291	0.00374155	0.0038974	0.000305124	0.714223	0.812436	0.280387	0.0456649
740	-797.719	0	-797.719	0.0360737	0.0098133	0.0100854	0.110244	0.1243	0.0261519	0.0247719	0.135614	0.0882264	0.0163386	0.0146865	0.02537	0.00135829	0.00288011	0.00300135	0.000976697	0.709786	0.624758	0.592869	0.187075
750	-798.142	0	-798.142	0.03071	0.0182607	0.0233997	0.0976997	0.107358	0.0351778	0.0305516	0.106665	0.0766485	0.0169172	0.00715191	0.00896494	0.00122213	0.00161981	0.00335137	0.00379706	0.713949	0.480904	0.234092	0.0840479
760	-799.805	0	-799.805	0.0403145	0.0124395	0.0156274	0.103098	0.112113	0.0345292	0.0232988	0.106247	0.0717984	0.0220897	0.00767141	0.00314978	0.000865797	0.00212382	0.00320811	0.00680913	0.640411	0.639739	0.329262	0.0296457
770	-799.245	0	-799.245	0.0517756	0.0033435	0.0220356	0.0766785	0.152998	0.018513	0.0309738	0.0844042	0.101222	0.0151695	0.0089381	0.00772573	0.00103806	0.00283701	0.00253894	0.00744197	0.661593	0.819397	0.28857	0.0915325
780	-797.299	0	-797.299	0.0652482	0.00126183	0.0197414	0.0984693	0.151611	0.021359	0.0276097	0.108108	0.0863628	0.0200972	0.00786829	0.00963831	0.00119084	0.00339716	0.00299456	0.00666374	0.569634	0.940923	0.284982	0.0891548
790	-796.241	0	-796.241	0.0546979	0.00931057	0.0155934	0.107205	0.153053	0.024823	0.027665	0.108753	0.0983553	0.0155124	0.0120716	0.00154762	0.00113846	0.00371135	0.0031519	0.00205696	0.642622	0.624921	0.43635	0.0142306
800	-797.269	0	-797.269	0.028807	0.000664282	0.0206241	0.10483	0.122818	0.020672	0.0305194	0.106113	0.0940106	0.0200077	0.00989531	0.00128344	0.00137533	0.0021926	0.00328753	0.00306223	0.765449	0.967866	0.32423	0.012095
810	-796.564	0	-796.564	0.0347202	0.004147	0.0261794	0.0804918	0.122868	0.021614	0.0364449	0.0829102	0.0881475	0.017467	0.0102655	0.00241833	0.00126187	0.00242886	0.00260911	0.00100131	0.717418	0.808134	0.281673	0.0291681
820	-798.385	0	-798.385	0.0360188	0.00807077	0.017875	0.103139	0.128087	0.0251152	0.028684	0.123689	0.0920685	0.0170445	0.010809	0.0205506	0.00175215	0.00222344	0.00203934	0.000932075	0.718795	0.67865	0.37683	0.166147
830	-799.751	0	-799.751	0.0325829	0.00326067	0.0241415	0.083247	0.101273	0.0275219	0.0363345	0.0949317	0.0686905	0.0242612	0.012193	0.0116847	0.0016395	0.0029392	0.00264326	0.00123122	0.678268	0.881524	0.335577	0.123085
840	-803.168	0	-803.168	0.0400227	0.00409847	0.0143501	0.118315	0.108686	0.0271288	0.0293447	0.169706	0.0686635	0.0230303	0.0149946	0.0513917	0.00157543	0.00419049	0.00319748	0.00187949	0.631759	0.848926	0.510981	0.302827
850	-798.726	0	-798.726	0.0680056	0.00253635	0.0145166	0.0923159	0.152044	0.0252015	0.0261536	0.140092	0.0840388	0.0226652	0.0116369	0.0477763	0.00111514	0.00329274	0.0026096	0.00226633	0.552725	0.899357	0.444946	0.341035
860	-796.766	0	-796.766	0.0552844	0.00661556	0.0174856	0.0974685	0.143891	0.0215208	0.0308744	0.141616	0.0886067	0.0149053	0.0133888	0.0441473	0.00083516	0.00206711	0.00224074	0.0022638	0.61579	0.692597	0.433653	0.31174
870	-801	0	-801	0.0687967	0.00899912	0.0200009	0.105061	0.165906	0.0296953	0.0250425	0.156739	0.097109	0.0206962	0.00504152	0.051678	0.000460423	0.00221389	0.00305784	0.00626451	0.585327	0.696952	0.201319	0.329707
880	-801.228	0	-801.228	0.0884242	0.00461291	0.0277169	0.0973895	0.172114	0.0211946	0.032665	0.167573	0.0836894	0.0165817	0.00494805	0.0701832	0.000554487	0.00192442	0.00301594	0.00272788	0.486245	0.782354	0.151479	0.418822
890	-807.368	0	-807.368	0.0542936	0.0142337	0.0175222	0.113599	0.149581	0.0385212	0.0305921	0.179474	0.0952874	0.0242876	0.0130699	0.0658753	0.000464393	0.00242047	0.00389989	0.00829853	0.637029	0.630498	0.42723	0.367046
900	-801.391	0	-801.391	0.0557929	0.00787941	0.0199548	0.104973	0.140388	0.0275102	0.037867	0.131762	0.0845953	0.0196308	0.0179121	0.0267899	0.000438953	0.0016291	0.0023857	0.00608938	0.602581	0.713582	0.473028	0.20332
910	-800.516	0	-800.516	0.0760159	-0.00574298	0.0277666	0.0996873	0.159161	0.0166587	0.040868	0.152116	0.0831455	0.0224017	0.0131013	0.0524289	0.000555671	0.00222085	0.0020852	0.00279199	0.522398	1.34474	0.320577	0.344663
920	-796.733	0	-796.733	0.0773405	0.0152426	0.0219103	0.0864677	0.162372	0.0304794	0.0311169	0.114665	0.0850316	0.0152367	0.00920664	0.0281969	0.000496859	0.00259908	0.00353807	0.00459691	0.523683	0.499903	0.295873	0.245907
930	-796.642	0	-796.642	0.0709506	0.0132324	0.0193202	0.0807301	0.15992	0.0279616	0.0267691	0.123464	0.0889689	0.0147292	0.00744884	0.0427341	0.000485935	0.00269891	0.00244034	0.00212713	0.556336	0.526764	0.278263	0.346126
940	-796.924	0	-796.924	0.0475052	0.0163848	0.0258183	0.105762	0.138751	0.0314076	0.0321151	0.126978	0.0912453	0.0150229	0.00629678	0.0212162	0.000765462	0.00200737	0.00323965	0.00298085	0.657621	0.478319	0.196069	0.167086
950	-800.522	0	-800.522	0.0481437	0.0207469	0.0114297	0.0936611	0.13611	0.0322486	0.0221572	0.10101	0.087966	0.0115018	0.0107275	0.00734942	0.000931963	0.00200801	0.00442892	0.00724836	0.646288	0.35666	0.484153	0.072759
960	-796.735	0	-796.735	0.0463159	0.0145429	0.0149717	0.0930161	0.131548	0.0275518	0.0246617	0.0987498	0.0852319	0.013009	0.00969005	0.0057337	0.0010461	0.00218394	0.00259602	0.00397853	0.647916	0.472163	0.392919	0.0580629
970	-801.753	0	-801.753	0.0319459	0.00591454	0.0249152	0.0996857	0.105813	0.035182	0.032478	0.108247	0.0738667	0.0292674	0.00756279	0.00856129	0.00150395	0.0025263	0.00406086	0.00527306	0.69809	0.831887	0.232859	0.0790904
980	-804.049	0	-804.049	0.0232831	-0.00374052	0.0312702	0.0712055	0.0979121	0.0118385	0.0392135	0.081938	0.074629	0.015579	0.00794328	0.0107325	0.00241579	0.00194301	0.00280229	0.00640181	0.762204	1.31596	0.202565	0.130984
990	-795.375	0	-795.375	0.0403691	0.00427425	0.0216121	0.092132	0.125492	0.0217808	0.0320653	0.0938845	0.0851231	0.0175065	0.0104532	0.00175246	0.0016209	0.00254894	0.00287147	0.00337658	0.678314	0.80376	0.325998	0.0186661
1000	-794.983	0	-794.983	0.0612181	0.00154448	0.0237214	0.105116	0.139716	0.0178706	0.0320828	0.107254	0.078498	0.0163261	0.00836148	0.00213765	0.00110785	0.00240498	0.00312922	0.00364436	0.561839	0.913574	0.260622	0.0199308
1010	-799.435	0	-799.435	0.0522126	0.00736247	0.0200387	0.125751	0.135757	0.022898	0.0276504	0.127844	0.0835447	0.0155356	0.0076117	0.00209296	0.00146353	0.00409356	0.00453214	0.00602	0.615398	0.678467	0.275283	0.0163713
1020	-801.827	0	-801.827	0.0520806	0.00154003	0.0279636	0.0896128	0.113069	0.0222658	0.0344762	0.094908	0.0609882	0.0207258	0.00651256	0.00529528	0.00191774	0.00309254	0.00455926	0.00307272	0.53939	0.930835	0.1889	0.0557938
1030	-801.495	0	-801.495	0.0144702	0.00490257	0.0140525	0.0782077	0.0968532	0.017865	0.0244922	0.0849629	0.082383	0.0129624	0.0104397	0.00675522	0.00320725	0.00426019	0.00272356	0.00118842	0.850596	0.725576	0.426247	0.0795079
1040	-807.298	0	-807.298	0.00485073	0.00544946	0.0123602	0.10309	0.05994	0.0230375	0.0247849	0.109419	0.0550893	0.0175881	0.0124247	0.00632829	0.00409848	0.00202996	0.00374659	0.000437024	0.919074	0.763453	0.5013	0.0578355
1050	-799.991	0	-799.991	0.0303517	-7.06294e-06	0.0176792	0.111236	0.101533	0.0179415	0.0342725	0.121496	0.0711809	0.0179485	0.0165933	0.0102598	0.0015548	0.00306725	0.00210811	0.000442688	0.701064	1.00039	0.484157	0.0844453
1060	-795.567	0	-795.567	0.0466379	0.0118184	0.0191471	0.0876172	0.120412	0.0269194	0.0309702	0.108948	0.0737738	0.0151009	0.0118232	0.0213305	0.00115502	0.00248678	0.0036293	0.00117019	0.61268	0.56097	0.381759	0.195787
