Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51
780	6	6	6	6	6	6	4	4	3	3	3	3	4	4	4	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	47	77	3	12	37	77	2	2	4	4	2	2	4	16	4	21	4	77	2	2	4	4	6	4	6	24	4	15	4	37	4	4	3	47	2	2	2	2	12	37	12	12	2	12	4	4	3	3	16	16	16	16	16	16	16	37	53	37	24	53	6	56	6	6	6	6	6	6	6	6
800	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	15	77	2	12	77	77	2	2	2	4	2	2	16	16	4	21	53	77	2	2	3	16	53	53	24	53	2	2	2	77	2	2	2	15	2	2	2	2	15	15	2	15	2	2	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	2	2	2	6	24	6	6	6	6	6	6
820	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	19	19	2	2	2	2	12	77	2	12	15	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	2	37	24	2	2	15	2	15	2	2	2	12	2	2	2	19	2	12	2	2	2	2	37	37	3	3	4	16	37	37	37	37	2	37	2	2	2	2	2	2	6	24	6	6	6	6	6	6
840	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	87	77	2	12	2	77	2	2	4	4	2	2	16	16	4	21	15	77	2	2	4	16	2	15	2	2	2	15	2	2	2	2	56	87	2	2	2	2	37	37	37	37	37	37	37	37	3	3	3	16	37	37	2	37	2	37	2	2	24	56	6	24	6	24	6	6	6	6	6	6
860	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	19	19	2	2	2	2	37	77	2	12	43	77	2	2	4	4	15	2	4	16	4	21	37	77	2	2	4	4	53	37	6	53	4	15	24	43	56	56	2	37	2	2	19	19	2	2	19	19	19	19	37	37	3	3	3	3	37	37	2	37	2	19	2	2	2	2	6	56	6	6	6	6	6	6	6	6
880	6	6	6	6	6	6	4	4	3	3	3	3	56	4	2	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	37	77	2	2	2	4	2	2	4	16	4	21	46	77	2	2	4	4	56	46	6	56	2	2	2	37	2	2	2	77	2	2	2	2	2	2	2	2	2	2	56	56	3	3	3	16	87	87	87	87	87	87	53	87	53	53	6	53	6	6	6	6	6	6	6	6
900	6	6	6	6	6	6	4	4	3	3	3	3	4	4	3	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	4	4	2	2	16	16	4	21	37	77	2	2	3	16	24	37	6	24	2	15	2	2	2	2	53	37	2	2	2	2	2	2	2	2	2	2	3	16	3	3	16	16	16	16	16	16	2	37	2	2	53	53	6	53	6	6	6	6	6	6	6	6
920	6	6	6	6	6	6	3	4	3	3	3	3	4	4	77	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	19	77	2	12	43	77	2	2	19	4	2	2	3	16	4	21	37	77	2	2	4	16	12	37	24	12	9	19	2	43	2	9	15	19	2	2	2	2	2	12	2	2	2	2	77	77	3	3	3	3	37	77	12	37	2	12	2	2	2	15	2	2	6	24	6	6	6	6	6	6
940	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	16	77	2	12	2	77	2	2	4	4	2	2	16	16	4	21	37	77	24	2	3	16	2	37	6	24	2	15	2	2	2	2	2	37	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	2	6	2	6	6	6	6	6	6	6	6
960	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	2	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	2	77	24	2	4	4	2	2	16	16	4	21	15	77	2	2	4	16	2	15	6	2	2	15	24	24	6	24	2	2	2	2	2	2	2	2	2	2	2	2	37	37	3	3	3	16	37	37	15	37	2	15	2	2	2	2	6	24	6	6	6	6	6	6	6	6
980	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	24	2	37	77	3	12	2	77	2	2	2	4	2	2	16	16	4	21	12	77	6	2	3	16	24	12	6	24	2	2	2	2	2	2	2	37	2	2	2	2	15	15	15	15	15	15	37	37	3	3	3	16	15	37	2	15	2	15	24	24	24	24	6	24	6	6	6	6	6	6	6	6
1000	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	2	77	2	2	4	4	15	2	4	16	4	21	56	77	6	2	4	4	6	56	6	6	2	15	24	2	6	24	2	37	2	2	2	2	2	12	2	2	2	2	37	37	3	3	3	3	37	37	37	37	24	37	24	24	6	24	6	6	6	6	6	6	6	6	6	6
1020	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	15	77	2	2	4	4	2	2	20	16	4	21	19	77	6	2	3	47	2	43	6	24	2	15	2	15	2	2	2	77	2	2	2	2	2	15	2	2	2	2	37	37	3	3	3	16	37	37	37	37	2	37	24	2	24	24	6	24	6	6	6	6	6	6	6	6
1040	6	6	6	6	6	6	4	4	3	3	3	3	4	4	87	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	12	77	2	2	4	4	2	2	4	16	4	21	37	77	2	2	4	4	56	37	6	56	2	15	2	12	2	2	2	37	2	2	2	2	12	12	12	12	3	12	87	87	3	3	4	16	87	87	87	87	53	87	53	53	53	53	6	53	6	6	6	6	6	6	6	6
1060	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	24	2	12	77	2	12	77	77	2	2	4	4	2	2	4	16	4	21	2	77	2	2	4	4	56	15	6	56	2	15	15	77	2	15	2	12	2	2	2	2	2	37	2	2	2	2	37	37	3	3	3	16	12	37	37	37	2	37	24	24	24	24	6	24	6	6	6	6	6	6	6	6
1080	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	19	77	2	2	4	4	2	2	16	16	4	21	24	77	6	2	16	16	6	87	6	6	15	15	2	19	2	15	2	37	2	2	2	2	37	37	37	37	12	37	37	37	16	3	3	16	37	37	2	37	2	12	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1100	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	2	12	2	77	2	2	6	4	2	2	26	16	4	21	4	77	1	2	26	26	6	26	6	23	24	24	2	2	6	24	4	77	2	2	2	2	12	37	12	12	2	12	37	37	3	3	3	3	37	37	37	37	2	37	2	2	2	15	6	24	6	6	6	6	6	6	6	6
1120	6	6	6	6	6	6	3	4	3	3	3	3	4	4	66	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	77	77	3	12	15	77	2	2	4	4	15	2	16	16	4	21	25	77	6	2	3	16	6	25	6	6	2	15	2	15	24	2	2	77	2	2	2	2	2	37	2	2	2	2	66	66	3	3	3	3	66	66	37	66	2	37	2	2	2	2	6	24	6	6	6	6	6	6	6	6
1140	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	15	37	2	2	2	2	2	2	2	19	2	2	2	2	37	77	2	12	12	77	2	2	4	4	2	2	4	16	4	21	87	77	2	2	4	4	24	87	6	24	15	15	2	12	2	15	53	37	2	2	2	2	2	15	2	2	2	2	37	37	3	3	4	16	37	37	12	37	2	12	2	2	53	53	6	53	6	6	6	6	6	6	6	6
1160	6	6	6	6	6	6	16	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	2	77	2	12	53	77	2	2	4	4	2	2	4	16	4	21	37	77	6	2	4	4	12	37	6	53	2	15	24	53	6	24	24	2	2	2	2	2	12	12	2	12	2	2	37	37	3	3	3	16	37	37	37	37	2	37	2	2	2	24	6	24	6	6	6	6	6	6	6	6
1180	6	6	6	6	6	6	4	4	3	3	3	3	4	4	37	37	4	4	37	37	2	2	2	2	2	2	2	19	2	2	2	2	43	77	2	12	15	77	2	2	4	4	2	2	4	16	4	21	87	77	2	2	4	4	26	87	24	56	2	15	2	15	2	2	2	43	2	2	2	2	2	37	2	2	2	2	37	37	3	3	3	16	12	37	37	37	2	37	2	2	2	2	2	2	6	24	6	6	6	6	6	6
1200	6	6	6	6	6	6	3	4	3	3	3	3	4	4	37	37	4	4	12	37	2	2	2	2	2	2	2	19	2	2	2	2	12	77	3	12	2	77	24	2	4	4	24	2	16	16	4	21	37	77	2	2	3	16	24	37	6	24	6	56	24	24	24	24	2	12	2	2	2	2	2	12	2	2	24	2	37	37	3	3	3	3	37	37	2	37	2	24	2	2	2	2	6	24	6	6	6	6	6	6	6	6
