Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
1350	-1556.155	-1565.544	9.389345	0.0562233	0.183233	0.236349	0.236804	0.232104	0.229512	0.219595	0.221688	0.189663	0.239021
1360	-1540.406	-1565.731	25.32451	0.125554	0.213225	0.215435	0.231983	0.232315	0.233566	0.249876	0.250681	0.247288	0.0633141
1370	-1561.184	-1569.595	8.410672	0.16042	0.175882	0.191963	0.231288	0.21412	0.207096	0.189216	0.162756	0.241972	0.22137
1380	-1581.419	-1567.878	-13.5415	0.153537	0.154049	0.175897	0.200749	0.22677	0.283266	0.247269	0.306946	0.0971528	0.0979387
1390	-1584.323	-1566.712	-17.61153	0.101334	0.101364	0.0986942	0.104111	0.106197	0.101634	0.100366	0.101584	0.0996164	0.0966858
1400	-1562.42	-1568.117	5.696838	0.172648	0.173974	0.174068	0.174296	0.173515	0.173992	0.171259	0.171774	0.171839	0.171958
1410	-1535.356	-1569.027	33.67111	0.124212	0.124109	0.124166	0.124186	0.124361	0.125358	0.124856	0.125506	0.125609	0.1255
1420	-1561.885	-1567.45	5.564422	0.0952012	0.0947056	0.0939972	0.094235	0.094238	0.096062	0.0950314	0.0887237	0.0892834	0.0893376
1430	-1529.643	-1568.139	38.49617	0.0972474	0.0972565	0.0973152	0.0973242	0.097239	0.0970953	0.0971109	0.0970962	0.0971054	0.0973559
1440	-1550.793	-1566.547	15.75404	0.0876133	0.0875563	0.0874857	0.0875719	0.0875276	0.0875285	0.0875728	0.0876654	0.0875618	0.0874706
1450	-1539.566	-1569.861	30.29456	0.0611432	0.0611455	0.0611488	0.0611754	0.0611787	0.0611787	0.0611574	0.0611565	0.0611525	0.0612257
1460	-1536.959	-1566.404	29.44528	0.133174	0.133333	0.130181	0.129867	0.130006	0.130673	0.130692	0.130954	0.130891	0.130859
1470	-1559.577	-1567.728	8.151793	0.0405929	0.0406453	0.162285	0.16158	0.161603	0.162167	0.16134	0.158281	0.157948	0.15888
1480	-1559.095	-1565.329	6.233515	0.0364543	0.184883	0.185262	0.185489	0.184154	0.185382	0.184361	0.184653	0.182513	0.182991
1490	-1567.951	-1565.991	-1.959447	0.0436542	0.196058	0.174355	0.17245	0.167381	0.166821	0.166875	0.168399	0.168586	0.168004
1500	-1588.377	-1569.303	-19.07462	0.0283346	0.027611	0.14733	0.146617	0.146892	0.156616	0.156907	0.152831	0.134075	0.131882
1510	-1579.454	-1567.594	-11.86043	0.0672032	0.0788036	0.0827032	0.219517	0.218771	0.214525	0.223781	0.207023	0.206799	0.20435
1520	-1563.508	-1565.47	1.96118	0.0532507	0.167232	0.168429	0.183035	0.183505	0.18452	0.184345	0.188311	0.17389	0.17578
1530	-1569.665	-1568.437	-1.228307	0.126837	0.227013	0.23868	0.270971	0.251647	0.206324	0.207248	0.209528	0.206378	0.142875
1540	-1580.186	-1570.808	-9.37804	0.114212	0.121333	0.112687	0.11396	0.153378	0.155742	0.142756	0.152255	0.140792	0.134718
1550	-1573.988	-1567.825	-6.163454	0.160781	0.160102	0.211715	0.214451	0.216876	0.217328	0.198147	0.0441075	0.0372888	0.0332809
1560	-1568.62	-1566.103	-2.517657	0.0623466	0.076219	0.0763244	0.0717846	0.0799138	0.0810824	0.0810869	0.0835531	0.082032	0.0810019
1570	-1579.328	-1565.548	-13.7798	0.0750276	0.211202	0.192822	0.236864	0.239528	0.232948	0.237066	0.232058	0.274685	0.274218
1580	-1579.155	-1568.069	-11.08581	0.0351481	0.0655469	0.0960601	0.0927654	0.107313	0.107533	0.104039	0.103349	0.10315	0.103702
1590	-1582.024	-1566.017	-16.00657	0.0798464	0.16706	0.180731	0.189226	0.189718	0.216163	0.200777	0.221585	0.211752	0.209539
1600	-1586.761	-1566.206	-20.55562	0.0694139	0.162073	0.276865	0.211127	0.222581	0.227669	0.220631	0.23881	0.224078	0.260548
1610	-1583.311	-1566.55	-16.76091	0.0770446	0.148737	0.1591	0.149355	0.137535	0.114056	0.0551294	0.0543898	0.0577423	0.0539614
1620	-1568.999	-1565.86	-3.139227	0.096053	0.249842	0.230807	0.266892	0.255289	0.238779	0.242769	0.19328	0.231698	0.247911
1630	-1563.141	-1569.038	5.896771	0.130121	0.148363	0.188131	0.175984	0.176324	0.17635	0.177938	0.18211	0.182588	0.0675331
1640	-1565.355	-1569.826	4.471607	0.13304	0.166299	0.168327	0.15808	0.154988	0.155056	0.217137	0.21664	0.241756	0.218902
1650	-1579.983	-1571.895	-8.088009	0.0525056	0.0502204	0.0503012	0.0486699	0.0484165	0.0490566	0.0492087	0.0487118	0.0487735	0.0487495
1660	-1581.716	-1566.344	-15.3724	0.00999947	0.00993427	0.0100183	0.00999239	0.00996599	0.0099199	0.009922	0.00990163	0.00905798	0.00904742
1670	-1596.946	-1569.39	-27.5555	0.00637221	0.00638762	0.00581026	0.00573754	0.0057989	0.00589685	0.0076843	0.00789698	0.00787514	0.00783866
1680	-1603.612	-1567.062	-36.5504	0.0131406	0.0125331	0.0198186	0.0211463	0.0219182	0.0220012	0.0313769	0.0334136	0.0406736	0.0396989
1690	-1573.815	-1571.061	-2.753812	0.00304625	0.0030506	0.00304469	0.00305391	0.0030225	0.00302911	0.00302531	0.00305799	0.00292335	0.00290289
1700	-1604.663	-1571.564	-33.09896	0.00212889	0.00177479	0.00151295	0.00151507	0.00150709	0.00152442	0.000241902	0.000241907	0.000243763	0.000242281
1710	-1613.481	-1567.723	-45.75789	0.00334955	0.00341598	0.00370908	0.00260832	0.00227398	0.0072623	0.0074658	0.00974122	0.0101011	0.00996768
1720	-1620.224	-1571.347	-48.87691	0.00623509	0.00763585	0.179086	0.144865	0.130914	0.154876	0.147873	0.129378	0.108483	0.108944
1730	-1602.545	-1565.567	-36.97801	0.00450368	0.172356	0.174167	0.130562	0.0628584	0.0714067	0.075466	0.0836985	0.0523656	0.0587777
1740	-1606.686	-1567.523	-39.16314	0.00241959	0.0788488	0.0788068	0.075816	0.0732907	0.0567722	0.00722556	0.00671125	0.00741167	0.00734806
1750	-1594.257	-1567.548	-26.70982	0.00101433	0.0921567	0.0920367	0.100441	0.0996383	0.0617348	0.0990994	0.0839046	0.0850882	0.0853173
1760	-1575.243	-1565.28	-9.963121	0.000503472	0.156849	0.156907	0.165562	0.133263	0.132648	0.132849	0.194945	0.187566	0.19363
1770	-1595.535	-1566.045	-29.48975	0.000303257	0.179054	0.17698	0.18018	0.170025	0.161824	0.161398	0.0940727	0.093827	0.300751
1780	-1615.847	-1570.165	-45.68257	0.000209712	0.0303481	0.0309105	0.0322034	0.0478629	0.0593339	0.0380996	0.038097	0.0384335	0.0346474
1790	-1607.556	-1566.247	-41.30867	0.000156648	0.0393173	0.0391409	0.0675429	0.0662843	0.0657796	0.0668648	0.0628474	0.0671775	0.0710401
1800	-1598.165	-1568.563	-29.60223	0.000158194	0.000158779	0.00152677	0.00152937	0.00153339	0.0013962	0.00123908	0.00117691	0.00124775	0.00129738
1810	-1607.98	-1568.135	-39.84541	0.00154305	0.00154857	0.00216626	0.0022212	0.002107	0.00157883	0.00162636	0.0016475	0.00164109	0.00170264
1820	-1617.663	-1570.661	-47.00169	5.04958e-05	4.12841e-05	2.93564e-06	4.60416e-06	4.14249e-06	3.52759e-10	3.45478e-10	3.7081e-10	4.03923e-10	3.27129e-10
