Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	n_events	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]
670	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
680	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
690	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
700	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
710	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
720	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
730	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
740	-4939.614	-4834.293	-105.3204	71.0166	58.4601	13.6261	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	72.707
750	-4940.09	-4834.77	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
760	-4940.09	-4834.77	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.9796	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
770	-4939.051	-4833.731	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
780	-4939.051	-4833.731	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
790	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
800	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
810	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
820	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
830	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
840	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
850	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
860	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
870	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
880	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
890	-4892.115	-4786.795	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.7265	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.2283	75.6142	86.6284	71.9879
900	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	71.9879
910	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	71.9879
920	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	71.9879
930	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	71.9879
940	-4890.825	-4785.505	-105.3204	71.0166	58.4601	13.545	13.8862	14.0782	15.1903	58.5937	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563	7	74.5727	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	71.9879
950	-4852.485	-4747.165	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	56.9362	82.9362	28.6026	42.9549	15.0832	11.0034	26.8548	55.9973	63.5563	7	72.3637	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	72.7535
960	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563	7	72.3637	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	70.6666
970	-4808.343	-4703.022	-105.3204	70.875	58.4601	13.7154	13.8862	14.1446	15.1903	55.3895	82.9362	28.6026	42.9549	15.0832	10.863	26.8548	55.9973	63.5563	7	72.3637	13.5673	4.31449	15.0746	34.6929	75.6142	86.6284	70.6666
