Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]
1430	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1440	-4779.35	-4674.03	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1450	-4780.556	-4675.235	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1460	-4780.556	-4675.235	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1470	-4780.556	-4675.235	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1480	-4779.868	-4674.548	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.1903	54.3028	82.9362
1490	-4777.716	-4672.395	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.2255	54.3028	82.9362
1500	-4778.062	-4672.742	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.2255	54.3028	82.9362
1510	-4778.062	-4672.742	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.2255	54.3028	82.9362
1520	-4778.062	-4672.742	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.2255	54.3028	82.9362
1530	-4778.062	-4672.742	-105.3204	71.0617	58.4601	13.7977	13.8689	14.1885	15.2255	54.3028	82.9362
1540	-4777.786	-4672.466	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.9362
1550	-4776.865	-4671.544	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.9362
1560	-4776.865	-4671.544	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.9362
1570	-4776.865	-4671.544	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.9362
1580	-4776.196	-4670.876	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.9362
1590	-4776.196	-4670.876	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.9362
1600	-4774.682	-4669.361	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.6314
1610	-4775.439	-4670.119	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.6314
1620	-4775.439	-4670.119	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.6314
1630	-4775.439	-4670.119	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.6314
1640	-4775.439	-4670.119	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.6314
1650	-4775.439	-4670.119	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2235	53.9635	82.6314
1660	-4774.399	-4669.078	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1670	-4774.399	-4669.078	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1680	-4774.399	-4669.078	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1690	-4774.399	-4669.078	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1700	-4775.703	-4670.382	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1710	-4775.703	-4670.382	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1720	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1730	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1740	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1750	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1760	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1770	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1780	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1790	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1800	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1810	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1820	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1830	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1840	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1850	-4773.579	-4668.259	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.6314
1860	-4773.645	-4668.324	-105.3204	71.0617	58.4601	13.7977	13.7883	14.1885	15.2407	53.9292	82.5935
1870	-4772.994	-4667.673	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1885	15.2407	53.9356	82.5935
1880	-4772.994	-4667.673	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1885	15.2407	53.9356	82.5935
1890	-4772.994	-4667.673	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1885	15.2407	53.9356	82.5935
1900	-4772.994	-4667.673	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1885	15.2407	53.9356	82.5935
1910	-4772.994	-4667.673	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1885	15.2407	53.9356	82.5935
1920	-4772.994	-4667.673	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1885	15.2407	53.9356	82.5935
1930	-4772.994	-4667.673	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1885	15.2407	53.9356	82.5935
1940	-4773.039	-4667.719	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2407	53.9356	82.5935
1950	-4773.039	-4667.719	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2407	53.9356	82.5935
1960	-4773.039	-4667.719	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2407	53.9356	82.5935
1970	-4773.039	-4667.719	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2407	53.9356	82.5935
1980	-4772.794	-4667.473	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2407	53.9356	82.5935
1990	-4772.794	-4667.473	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2407	53.9356	82.5935
2000	-4772.794	-4667.473	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2407	53.9356	82.5935
2010	-4773.74	-4668.42	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2373	53.9356	82.5935
2020	-4773.74	-4668.42	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2373	53.9356	82.5935
2030	-4773.74	-4668.42	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2373	53.9356	82.5935
2040	-4773.74	-4668.42	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2373	53.9356	82.5935
2050	-4773.74	-4668.42	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2373	53.9356	82.5935
2060	-4773.656	-4668.336	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2373	53.958	82.5935
2070	-4773.656	-4668.336	-105.3204	71.0617	58.5181	13.7977	13.7883	14.1974	15.2373	53.958	82.5935
2080	-4774.402	-4669.081	-105.3204	71.0527	58.5181	13.7977	13.7883	14.1974	15.2373	53.958	82.5935
2090	-4774.402	-4669.081	-105.3204	71.0527	58.5181	13.7977	13.7883	14.1974	15.2373	53.958	82.5935
2100	-4774.402	-4669.081	-105.3204	71.0527	58.5181	13.7977	13.7883	14.1974	15.2373	53.958	82.5935
2110	-4774.402	-4669.081	-105.3204	71.0527	58.5181	13.7977	13.7883	14.1974	15.2373	53.958	82.5935
2120	-4773.779	-4668.459	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
2130	-4773.779	-4668.459	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
2140	-4773.779	-4668.459	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
2150	-4773.779	-4668.459	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
2160	-4773.779	-4668.459	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
2170	-4773.779	-4668.459	-105.3204	71.0527	58.4903	13.7953	13.7883	14.1974	15.2373	53.958	82.5935
