Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]
2200	-4777.291	-4671.971	-105.3204	28.5819	42.9506	15.0287	10.8149	26.8554	55.9283	63.3158
2210	-4774.005	-4668.685	-105.3204	28.58	42.9506	15.0287	10.8149	26.8554	55.9283	63.3135
2220	-4774.005	-4668.685	-105.3204	28.58	42.9506	15.0287	10.8149	26.8554	55.9283	63.3135
2230	-4775.084	-4669.764	-105.3204	28.58	42.9506	15.0276	10.8149	26.8554	55.9252	63.3135
2240	-4775.084	-4669.764	-105.3204	28.58	42.9506	15.0276	10.8149	26.8554	55.9252	63.3135
2250	-4775.084	-4669.764	-105.3204	28.58	42.9506	15.0276	10.8149	26.8554	55.9252	63.3135
2260	-4775.084	-4669.764	-105.3204	28.58	42.9506	15.0276	10.8149	26.8554	55.9252	63.3135
2270	-4775.084	-4669.764	-105.3204	28.58	42.9506	15.0276	10.8149	26.8554	55.9252	63.3135
2280	-4775.084	-4669.764	-105.3204	28.58	42.9506	15.0276	10.8149	26.8554	55.9252	63.3135
2290	-4775.084	-4669.764	-105.3204	28.58	42.9506	15.0276	10.8149	26.8554	55.9252	63.3135
2300	-4775.175	-4669.855	-105.3204	28.58	42.9467	15.0283	10.8149	26.8554	55.9315	63.3193
2310	-4773.327	-4668.006	-105.3204	28.5814	42.9467	15.0283	10.8149	26.8554	55.9315	63.3193
2320	-4773.327	-4668.006	-105.3204	28.5814	42.9467	15.0283	10.8149	26.8554	55.9315	63.3193
2330	-4773.327	-4668.006	-105.3204	28.5814	42.9467	15.0283	10.8149	26.8554	55.9315	63.3193
2340	-4774.105	-4668.785	-105.3204	28.5794	42.9467	15.0283	10.8149	26.8554	55.9315	63.3193
2350	-4774.105	-4668.785	-105.3204	28.5794	42.9467	15.0283	10.8149	26.8554	55.9315	63.3193
2360	-4774.53	-4669.21	-105.3204	28.5794	42.9461	15.0283	10.8149	26.8554	55.9315	63.3193
2370	-4774.53	-4669.21	-105.3204	28.5794	42.9461	15.0283	10.8149	26.8554	55.9315	63.3193
2380	-4778.337	-4673.017	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.9315	63.3193
2390	-4778.337	-4673.017	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.9315	63.3193
2400	-4778.337	-4673.017	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.9315	63.3193
2410	-4773.794	-4668.474	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.9315	63.3193
2420	-4773.794	-4668.474	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.9315	63.3193
2430	-4773.794	-4668.474	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.9315	63.3193
2440	-4774.632	-4669.311	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.931	63.3193
2450	-4774.632	-4669.311	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.931	63.3193
2460	-4774.632	-4669.311	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.931	63.3193
2470	-4775.367	-4670.047	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.931	63.3193
2480	-4773.804	-4668.484	-105.3204	28.5794	42.9461	15.0283	10.8138	26.8554	55.931	63.3193
2490	-4776.226	-4670.905	-105.3204	28.5794	42.9461	15.0285	10.8135	26.8554	55.931	63.3192
2500	-4776.226	-4670.905	-105.3204	28.5794	42.9461	15.0285	10.8135	26.8554	55.931	63.3192
2510	-4773.448	-4668.128	-105.3204	28.5801	42.9461	15.0285	10.8135	26.8554	55.931	63.3192
2520	-4773.448	-4668.128	-105.3204	28.5801	42.9461	15.0285	10.8135	26.8554	55.931	63.3192
