Iteration	Posterior	Likelihood	Prior	delta_log_extinction[1]	delta_log_extinction[2]	delta_log_extinction[3]	delta_log_extinction[4]	delta_log_extinction[5]	delta_log_extinction[6]	delta_log_extinction[7]	delta_log_extinction[8]	delta_log_extinction[9]	delta_log_speciation[1]	delta_log_speciation[2]	delta_log_speciation[3]	delta_log_speciation[4]	delta_log_speciation[5]	delta_log_speciation[6]	delta_log_speciation[7]	delta_log_speciation[8]	delta_log_speciation[9]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction_global_scale	log_extinction_at_present	log_speciation_at_present	sigma_extinction[1]	sigma_extinction[2]	sigma_extinction[3]	sigma_extinction[4]	sigma_extinction[5]	sigma_extinction[6]	sigma_extinction[7]	sigma_extinction[8]	sigma_extinction[9]	sigma_speciation[1]	sigma_speciation[2]	sigma_speciation[3]	sigma_speciation[4]	sigma_speciation[5]	sigma_speciation[6]	sigma_speciation[7]	sigma_speciation[8]	sigma_speciation[9]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation_global_scale
100	-1530.712	-1577.493	46.78115	0.000486309	0.015219	0.0620874	0.104578	-0.0516858	-0.00383091	-0.00194452	0.0237059	-0.329862	0.000116951	6.16e-05	0.000178609	0.000534611	-0.00196652	1.16098e-05	-2.82691e-05	4.04031e-05	-0.000252194	0.394119	0.39431	0.400357	0.426002	0.472966	0.449141	0.447424	0.446555	0.457267	0.328786	2.794049	-0.9311032	-0.7571131	0.882426	0.225973	0.622092	0.596033	1.52121	0.1812	0.143459	0.813693	3.55117	1.30326	0.165992	0.45329	0.822108	2.70562	0.349881	0.202874	0.536398	0.765021	0.469018	0.469073	0.469102	0.469186	0.469437	0.468515	0.46852	0.468507	0.468526	0.468408	0.00590793
110	-1526.412	-1578.158	51.74575	0.0201912	0.0116237	-5.1271e-05	0.0595824	-0.0101243	0.00329737	0.0145849	-0.0322002	-0.0221529	0.00118503	-0.000154647	0.000352761	0.000153826	0.000853026	2.79838e-06	-1.05967e-07	0.000352303	0.00125235	0.394119	0.402157	0.406859	0.406838	0.431815	0.427466	0.428877	0.435178	0.421389	0.412156	0.3023425	-0.9311032	-0.7571131	1.02177	1.57491	0.0131644	4.11247	0.536191	0.503554	2.23653	1.75523	0.925493	4.15658	1.42505	1.68475	2.17531	5.04065	0.0982603	0.00840818	1.29418	7.53275	0.469018	0.469575	0.469502	0.469668	0.46974	0.470141	0.470142	0.470142	0.470308	0.470897	0.005974797
120	-1533.308	-1578.61	45.30221	-0.00181369	-0.000855667	-0.0053564	0.0526659	0.00497486	0.00101601	0.0120206	-0.00135481	-0.000503755	-9.52271e-07	-1.42119e-05	0.000152853	-0.174155	1.31732e-05	8.31668e-05	-0.00103713	-3.62117e-05	0.000172791	0.394119	0.393405	0.393068	0.390968	0.412111	0.414166	0.414587	0.419601	0.419033	0.418822	0.05517994	-0.9311032	-0.7571131	1.88645	1.32487	1.76397	48.9155	5.41193	0.689848	7.75837	0.70401	1.00728	0.141594	0.33443	0.604633	327.266	0.13821	0.199335	3.35848	0.388572	0.549495	0.469018	0.469018	0.469011	0.469083	0.394108	0.394113	0.394146	0.393737	0.393723	0.393791	0.0114119
130	-1592.833	-1578.971	-13.86191	0.111448	-0.115368	0.173728	0.0336575	-0.00438929	-0.00421751	-0.00677313	0.0860324	0.085973	-0.0333933	-0.0115625	0.00286209	-0.000930192	0.0136682	0.00145029	0.01001	-0.000595263	-0.00150753	0.368436	0.411873	0.366995	0.436626	0.451571	0.449594	0.447702	0.444679	0.48463	0.528139	1.118539	-0.9984876	-0.7571131	0.90909	1.82383	3.11179	3.11402	1.47357	3.82332	0.816289	2.90459	19.0992	10.6951	2.05073	0.281923	3.00127	6.10219	0.261245	1.8443	1.63152	0.533491	0.469018	0.453615	0.4484	0.449686	0.449267	0.45545	0.456111	0.4607	0.460426	0.459732	0.1198628
140	-1589.824	-1579.882	-9.942274	-7.66504e-05	0.0887524	0.000192971	-0.0218578	0.0420358	-0.100058	-0.0350338	0.210417	-0.0345642	-0.0527199	-0.0448584	-0.0318347	-0.0153705	0.000180889	-0.0255322	-0.0664769	0.00446715	0.00926629	0.368436	0.368408	0.4026	0.402678	0.393972	0.410885	0.371763	0.358964	0.443031	0.42798	1.0028	-0.9984876	-0.7571131	0.0650955	0.853283	0.0777727	5.53594	1.07595	5.93654	2.21638	4.84872	2.1243	1.28923	0.940431	3.03712	2.90496	0.147168	2.9034	7.29015	0.306215	0.230095	0.469018	0.444932	0.425414	0.412085	0.405799	0.405873	0.395641	0.370195	0.371853	0.375314	0.6733068
150	-1543.729	-1578.938	35.20937	0.078324	0.00220722	-0.00330508	0.00121339	0.00081506	-0.000937382	0.000991276	-0.0164581	0.00128825	0.000133138	-0.0311685	-0.00827046	-0.00307256	0.00238167	0.0220725	0.000758595	-0.00427339	-0.0108923	0.368436	0.398454	0.399334	0.398017	0.3985	0.398825	0.398451	0.398846	0.392336	0.392842	0.2804313	-0.9984876	-0.7571131	5.03473	0.32506	0.241661	1.76322	0.0516549	0.0935938	0.487581	0.799936	3.63691	0.0203627	8.67586	1.49769	0.416963	0.293944	3.97048	0.0827489	0.429615	0.777611	0.469018	0.469081	0.454686	0.450941	0.449558	0.450629	0.460687	0.461036	0.45907	0.454097	0.2570806
160	-1567.721	-1580.865	13.1439	0.0276183	0.00239704	0.00378497	0.00890754	-0.0114226	-0.0855032	-0.000472246	0.0222802	-0.0163728	-0.000646806	-0.0250844	-0.145082	0.000611551	0.0214737	0.00355143	-0.456854	0.000930351	0.000378644	0.368436	0.378754	0.379663	0.381102	0.384512	0.380145	0.348992	0.348828	0.356687	0.350894	0.5874518	-0.9984876	-0.7571131	1.27378	0.272465	0.0872024	0.541515	0.287972	1.59482	0.0375172	2.52978	0.78989	0.863122	2.11519	2.41338	1.04376	6.0989	0.207604	9.12278	0.222419	0.0164933	0.469018	0.468715	0.457104	0.395373	0.395615	0.404202	0.40564	0.256881	0.25712	0.257217	0.7346207
170	-1566.903	-1578.858	11.95438	0.000353971	0.00221983	-0.000285266	0.0664	-0.0166987	0.0462196	0.126725	0.0010888	-0.387708	-1.55956e-05	-0.0690551	-1.40297e-05	0.0105893	-0.0214661	0.0216598	0.00219353	-3.60252e-05	0.00611753	0.368436	0.368567	0.369386	0.36928	0.394633	0.388098	0.406457	0.461371	0.461873	0.313432	0.5235769	-0.9984876	-0.7571131	0.738444	1.24824	0.0829884	5.48058	0.630833	6.93833	7.35849	0.0343127	28.68	0.00410391	5.83161	0.374847	0.445977	3.30637	1.17163	0.298736	0.172002	0.996274	0.469018	0.469011	0.437717	0.43771	0.44237	0.432975	0.442456	0.443427	0.443411	0.446132	0.2196137
180	-1566.586	-1581.319	14.7333	-0.0356093	0.0217832	0.00732088	-0.0157987	-0.00869964	0.00958407	0.0349047	-0.000264625	-0.0159119	0.0137162	-0.00073314	-0.0454363	-0.00156398	-0.0850608	0.000783719	0.00762982	-0.000531298	0.030813	0.368436	0.355547	0.363377	0.366047	0.36031	0.357189	0.360628	0.373438	0.37334	0.367446	0.5310323	-0.9984876	-0.7571131	2.77301	1.15794	0.269357	0.868288	0.969765	1.36835	4.11154	0.817865	0.920827	0.483717	0.412753	1.47631	0.233238	2.08454	0.110661	0.883727	2.41816	1.87151	0.469018	0.475496	0.475148	0.454042	0.453332	0.416366	0.416692	0.419884	0.419661	0.432793	0.5951821
190	-1600.568	-1578.618	-21.9507	0.0479432	0.023252	0.0669288	0.0995929	-0.405795	0.122425	-0.00309838	-0.0216546	0.219789	0.0186979	-0.0703165	0.090571	-0.00719969	-0.186921	-0.0197193	-0.028085	-0.116493	0.0233224	0.368436	0.386531	0.395623	0.423008	0.467306	0.311435	0.351994	0.350905	0.343388	0.427798	1.762617	-0.9984876	-0.7571131	0.254908	0.392833	1.3717	0.963884	12.1464	1.99365	0.184995	1.41239	5.09781	0.332371	1.89542	5.93904	1.10885	1.71905	0.627495	1.01863	1.48053	0.250435	0.469018	0.477871	0.445423	0.487648	0.48415	0.401607	0.393765	0.38286	0.340759	0.3488	2.184276
200	-1583.246	-1579.285	-3.961133	-0.000573069	0.00201284	-0.0446035	0.00024909	0.00439561	0.0163887	-0.0563642	-0.0214916	0.0509506	0.0103681	-0.0325619	-0.00352352	-0.433009	-0.0135948	0.153918	-0.00628466	0.0247752	0.0845313	0.368436	0.368225	0.368967	0.352872	0.352959	0.354514	0.360372	0.340622	0.33338	0.350806	0.3082294	-0.9984876	-0.7571131	1.83537	0.262693	16.2581	0.403938	0.456007	2.17057	3.35021	2.44882	3.30206	0.568687	1.09479	0.375011	8.13604	0.721078	2.19747	1.42911	1.02169	1.62913	0.469018	0.473907	0.458724	0.45711	0.296461	0.292458	0.341122	0.338985	0.347488	0.378139	0.8783153
210	-1581.164	-1577.035	-4.128269	0.0431881	0.0246783	0.0120661	-0.00923861	0.0600223	-0.0184041	-0.0140563	-0.00265696	-0.0132615	0.101032	-0.0569791	0.0793959	-0.00184498	0.0584124	-0.0515297	0.0124203	-0.0249648	-0.889639	0.368436	0.384697	0.394309	0.399095	0.395425	0.419886	0.412229	0.406475	0.405397	0.400056	0.6801841	-0.9984876	-0.9155422	0.887955	5.37754	0.793005	0.65548	2.46962	0.324653	1.21297	0.102595	0.552736	3.81712	0.404415	0.676446	0.162134	1.41966	0.73457	0.209595	0.230962	13.6829	0.4003	0.442856	0.418328	0.452896	0.452061	0.479254	0.455183	0.460872	0.449509	0.18466	2.74684
220	-1579.18	-1574.186	-4.99421	-0.0135763	0.00546667	-0.00168262	0.00392824	-0.257785	0.0261225	-0.058264	-0.00966939	0.0285081	-0.0287812	0.0424903	-0.065918	-0.169377	-0.0190122	0.0386498	0.0451858	0.0474735	0.0108782	0.321137	0.316807	0.318544	0.318008	0.31926	0.246712	0.253241	0.238908	0.236609	0.243451	0.6166566	-1.135886	-0.9155422	4.5202	0.746125	0.867592	1.3703	4.5924	3.44119	1.78817	0.746191	1.053	0.437229	0.619282	0.744573	1.75381	0.753488	0.976423	0.461692	2.01309	0.233385	0.4003	0.388943	0.405825	0.379937	0.320739	0.314699	0.3271	0.342219	0.358857	0.362782	1.703013
230	-1562.292	-1574.076	11.78407	0.029546	-0.0185781	-0.0205993	-0.00203544	0.00466377	0.018522	0.112544	0.0423334	-0.00137807	-0.0335961	-0.0374182	-0.0750349	0.00883659	0.00749265	0.0123693	0.0932433	0.00375794	0.00419172	0.321137	0.330767	0.324679	0.318059	0.317412	0.318896	0.324858	0.363555	0.379276	0.378754	0.3982107	-1.135886	-0.8999119	1.8458	1.37017	0.811698	0.178806	0.468562	0.993456	4.9446	3.68741	0.0364601	0.358023	1.64116	1.24417	0.0987298	0.712713	0.468053	1.06418	0.805454	0.163425	0.406605	0.393172	0.378732	0.351354	0.354473	0.357138	0.361583	0.396921	0.398415	0.400088	1.638476
240	-1555.054	-1573.854	18.79955	0.0320473	0.0331964	0.10178	0.0022575	0.00894603	0.00980213	0.00189393	-0.153845	0.0761451	-0.000487382	-0.000858284	0.040062	-0.000195599	0.00296731	0.00787599	-0.00875933	0.0890733	-0.00301148	0.321137	0.331596	0.342788	0.379514	0.380372	0.38379	0.38757	0.388305	0.332935	0.359276	0.7402927	-1.135886	-0.8999119	0.77006	1.43394	8.33824	0.122797	0.801245	0.505886	0.0709681	2.76393	1.8542	0.182583	0.159375	3.45268	0.560373	0.218931	0.5972	0.838069	8.3149	0.674961	0.406605	0.406407	0.406059	0.422656	0.422574	0.42383	0.427181	0.423455	0.462905	0.461513	0.2171193
250	-1559.233	-1573.233	13.9996	0.0452139	-0.00971296	-0.00316881	0.121113	0.00403085	0.0291156	-0.0892701	-0.040899	0.00171531	0.00137498	0.00782436	-0.00968738	-0.0414522	-0.0312567	0.00326226	-0.0116342	0.00130336	-0.00489474	0.321137	0.33599	0.332743	0.33169	0.374396	0.375908	0.387014	0.353962	0.339778	0.340361	0.8050747	-1.135886	-0.8999119	2.14186	0.701962	0.0518335	3.72173	0.115221	0.513835	3.65586	1.10971	0.751534	0.0619929	0.346054	1.93247	2.00898	1.24808	3.0268	1.51051	0.0554351	1.07952	0.406605	0.407165	0.410363	0.406407	0.389905	0.377906	0.379141	0.374756	0.375245	0.373412	0.4408551
260	-1573.884	-1573.004	-0.880687	-0.00029279	-0.0402911	-0.0215041	-0.0664131	-0.0320417	0.000955311	-0.0107543	0.000611805	-0.0362185	-0.00690446	0.00194578	-0.0644715	-0.348501	0.00877176	-0.073363	0.132663	0.0273171	0.227091	0.321137	0.321043	0.308365	0.301805	0.282412	0.273507	0.273768	0.27084	0.271005	0.261366	0.8999667	-1.135886	-0.8999119	0.0436566	0.697341	1.21748	3.06732	1.11259	2.72745	0.727459	0.0235637	0.958717	0.505043	0.210861	2.12778	6.27371	0.659788	1.58925	2.83574	0.847549	1.76826	0.406605	0.403808	0.404594	0.379333	0.267712	0.270071	0.250967	0.28657	0.294507	0.369589	0.9399867
270	-1543.009	-1574.478	31.469	-0.00487474	-0.00232659	0.0222164	0.0854493	0.11325	0.0086604	0.00404606	-0.0542738	0.0194194	4.33398e-05	-0.0015152	0.00612947	-0.000197899	0.00235897	-0.0155651	-0.000755808	0.00424569	0.00120855	0.340407	0.338752	0.337964	0.345557	0.376383	0.421516	0.425182	0.426906	0.404354	0.412283	0.9551424	-1.077613	-0.8999119	1.35263	0.0701006	0.608971	1.05868	3.15182	1.26453	0.844828	0.642227	0.299992	0.100084	0.300136	3.04944	0.262481	0.217465	2.0584	0.388466	0.546077	0.272763	0.406605	0.406623	0.406007	0.408504	0.408423	0.409387	0.403065	0.40276	0.404474	0.404963	0.1093402
280	-1543.648	-1574.58	30.93229	0.0010748	-0.00288109	-0.000954572	0.000168801	0.0112195	0.00462709	-0.0422794	0.00353955	0.0137147	0.0333931	-0.0255252	-0.0281188	-0.00353427	0.00768988	0.0231114	0.00893115	0.00177801	0.0277272	0.340407	0.340773	0.339793	0.339469	0.339526	0.343357	0.344949	0.330669	0.331841	0.336424	0.1693284	-1.077613	-0.8999119	0.33439	1.49592	0.282495	0.198023	2.24301	0.621707	4.09809	1.47614	2.55664	1.23227	0.620089	1.29614	0.0926124	0.276464	1.29141	0.598477	0.0639898	0.872479	0.406605	0.420413	0.409817	0.398454	0.397048	0.400113	0.409468	0.413142	0.413877	0.425513	0.6349592
290	-1537.131	-1573.803	36.67208	-0.00702586	-0.00657821	0.00549488	0.00128401	0.00530847	-0.000458898	0.00111242	-0.000212873	0.000213683	0.000805275	-0.00878362	-0.0206175	-0.0848003	-0.00223436	0.0313947	-0.0134876	-0.000521275	0.00141426	0.340407	0.338024	0.335807	0.337658	0.338092	0.339891	0.339735	0.340113	0.340041	0.340114	0.1111146	-1.077613	-0.8999119	0.728236	0.901985	1.28028	0.254662	0.656009	0.381808	0.328503	0.299447	0.914902	1.19864	0.448055	1.20553	4.92784	0.721511	3.91797	0.955059	0.936821	0.385242	0.406605	0.406933	0.403374	0.395143	0.363016	0.362206	0.373758	0.36875	0.368558	0.36908	0.3331509
300	-1544.142	-1575.478	31.33643	0.00986337	-0.0121507	6.33625e-05	0.00302817	0.0134997	0.00033276	-0.00122735	-0.000864939	-0.000171038	-0.0132562	-0.0359926	0.0376302	0.0195325	-0.000102313	-0.016355	-0.00408453	0.048853	7.00391e-05	0.340407	0.343781	0.339629	0.339651	0.340681	0.345311	0.345426	0.345002	0.344704	0.344645	0.2897673	-1.077613	-0.8999119	0.897404	2.17587	0.565177	0.329002	2.62004	0.0218375	1.29561	0.269955	0.0661173	0.705974	0.809196	4.25913	0.516071	0.0221524	4.46759	2.1319	1.04448	0.0207703	0.406605	0.401251	0.387066	0.401909	0.409836	0.409794	0.403147	0.401503	0.421605	0.421634	0.5150551
310	-1544.804	-1574.391	29.58633	-0.0013156	0.000304095	0.014939	-9.34107e-05	0.00221679	-0.000938951	-0.0367209	-0.000576385	0.000100363	-0.00322347	-0.00422129	-0.00855881	-0.0169226	0.00137743	0.00497326	-0.0244234	0.0118393	0.0020937	0.340407	0.33996	0.340063	0.345181	0.345149	0.345915	0.34559	0.33313	0.332938	0.332972	0.0507138	-1.077613	-0.8999119	0.677694	0.128767	4.20469	0.275142	1.74504	1.78171	53.8818	0.666776	0.167195	0.300965	2.11724	2.82287	1.67804	0.715663	0.928175	18.1469	1.17141	0.62374	0.406605	0.405297	0.40359	0.40015	0.393436	0.393978	0.395942	0.386389	0.390991	0.39181	0.1269206
320	-1560.094	-1577.61	17.51675	-0.00241742	-0.00701767	-0.0283204	0.000189429	-0.270174	-0.00314042	-0.00192691	-0.00117598	-0.00162569	-0.0719434	0.00205552	-0.0332803	-0.0243742	0.00268761	0.00251971	-0.0509391	0.00344069	0.00625162	0.340407	0.339585	0.33721	0.327794	0.327857	0.250235	0.249451	0.248971	0.248678	0.248274	0.1610503	-1.077613	-0.8999119	1.18227	0.767646	2.34098	0.284233	34.5617	1.45183	0.622846	0.191817	0.641924	2.31179	1.38439	2.94907	1.64178	0.547114	0.151085	1.76053	1.3843	0.982021	0.406605	0.37838	0.379159	0.366748	0.357917	0.35888	0.359786	0.341917	0.343096	0.345247	0.3864108
330	-1534.658	-1575.188	40.52961	-2.24951e-05	0.00266974	-0.00243532	0.00454541	-0.00249881	0.000292117	-0.00975119	0.00546377	-0.00426791	0.0227925	-0.00623555	0.000685538	-0.0403521	-0.011776	-0.00153461	9.43326e-05	-0.00704896	-0.00216648	0.322303	0.322296	0.323157	0.322371	0.32384	0.323032	0.323126	0.31999	0.321744	0.320373	0.2348811	-1.132263	-0.8999119	0.00769082	0.923454	0.998814	0.534412	0.613671	0.332266	2.30105	1.77129	1.20781	2.23936	0.726116	0.368443	0.843945	1.35591	0.195319	0.201467	0.261816	0.160128	0.406605	0.415979	0.413394	0.413677	0.397317	0.392665	0.392063	0.3921	0.389346	0.388503	0.3272585
340	-1579.954	-1573.663	-6.290415	0.00744686	0.00758171	-0.0668907	0.0131106	-0.017789	0.0117735	-0.101826	-0.0340124	0.872313	-0.00620556	-0.0721322	-0.00614294	0.089729	0.000415666	-0.249265	0.179763	0.0442948	0.0245141	0.260882	0.262832	0.264832	0.247697	0.250966	0.246541	0.249461	0.225309	0.217775	0.521013	0.850172	-1.343687	-1.028566	0.414316	0.699479	1.97257	0.380236	0.370473	0.165687	1.41066	1.2286	29.0799	1.91516	1.20833	0.674478	1.10688	0.0170931	3.59536	3.18928	0.785671	0.589974	0.357519	0.355308	0.330581	0.328556	0.359401	0.35955	0.280224	0.335409	0.3506	0.359301	0.8694563
350	-1563.189	-1570.856	7.666714	0.0270278	0.00494529	-0.00805115	0.0466852	0.00275778	-0.00531142	-0.0019601	0.000251104	0.0393982	-0.0420139	-0.0216201	-0.0979539	0.0291496	0.0001981	-0.0374505	0.000969464	-0.00563616	-0.030076	0.260882	0.268029	0.269358	0.267198	0.279968	0.280741	0.279254	0.278707	0.278777	0.28998	0.2404239	-1.343687	-1.018111	1.80186	0.580758	0.404467	1.84168	1.7868	0.538817	1.06265	0.408525	3.37205	2.74593	1.91368	6.95909	1.83043	0.470633	4.0186	1.55597	0.822624	2.83892	0.361277	0.346413	0.339004	0.307371	0.316463	0.316526	0.304891	0.305187	0.303471	0.29448	0.2382247
