Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
104	0	-1575.757	-1566.307	-9.449936	0.204292	0.189357	0.102914	0.0994729	0.0373227	0.0362165	0.0487729	0.0477197	0.0477087	0.0490913
105	1	-1558.118	-1588.12	30.00228	0.585804	0.589509	0.589394	0.590211	0.520197	0.517743	0.523134	0.524929	0.528325	0.528074
106	0	-1607.827	-1567.909	-39.91789	0.204292	0.171041	0.0619172	0.0616881	0.0478801	0.0147008	0.015522	0.0653939	0.0200862	0.0132468
107	1	-1601.274	-1590.505	-10.76901	0.610875	0.609569	0.629316	0.62024	0.61217	0.532404	0.513014	0.532393	0.535728	0.583825
108	0	-1587.505	-1568.362	-19.14311	0.211555	0.204216	0.152235	0.144009	0.16829	0.120697	0.114514	0.101193	0.121736	0.122719
109	1	-1593.807	-1588.133	-5.674183	0.572297	0.57064	0.511978	0.512774	0.457415	0.439935	0.449497	0.416158	0.415702	0.413793
110	0	-1597.93	-1567.731	-30.19847	0.242973	0.249003	0.124196	0.133993	0.133797	0.129202	0.102047	0.0923098	0.170597	0.172866
111	1	-1552.075	-1590.344	38.26935	0.572297	0.570983	0.571006	0.574592	0.575019	0.575676	0.577218	0.576338	0.576367	0.581424
112	0	-1570.44	-1567.892	-2.547979	0.250204	0.179191	0.180585	0.171737	0.159887	0.171569	0.152756	0.157174	0.15676	0.160622
113	1	-1550.13	-1587.134	37.004	0.573757	0.580532	0.581548	0.582975	0.579578	0.580469	0.578686	0.572709	0.571232	0.560188
114	0	-1603.358	-1570.127	-33.23112	0.228453	0.255457	0.106742	0.118258	0.089554	0.104853	0.104828	0.108613	0.111225	0.142732
115	1	-1596.48	-1589.977	-6.502724	0.573757	0.625227	0.513866	0.588218	0.589042	0.663113	0.508096	0.445053	0.428296	0.422212
116	0	-1588.348	-1566.68	-21.66759	0.262849	0.261364	0.228771	0.170184	0.170423	0.146827	0.146522	0.191177	0.188423	0.195913
117	1	-1553.417	-1580.249	26.83189	0.501848	0.523659	0.525524	0.497525	0.483054	0.470036	0.490354	0.479453	0.458709	0.443086
118	0	-1572.984	-1567.193	-5.79163	0.214987	0.214986	0.12671	0.126759	0.122574	0.123626	0.0827592	0.0820792	0.0819796	0.0795527
119	1	-1570.145	-1580.302	10.15611	0.501848	0.51885	0.513929	0.518952	0.399506	0.405246	0.402623	0.429343	0.395851	0.385031
120	0	-1603.005	-1568.083	-34.92235	0.233016	0.170826	0.166147	0.166142	0.109309	0.0875126	0.0884305	0.0790988	0.0612571	0.0707602
121	1	-1588.033	-1582.004	-6.028787	0.501848	0.565983	0.567224	0.599048	0.633026	0.281464	0.512741	0.507942	0.525721	0.513209
122	0	-1562.743	-1567.318	4.574616	0.241193	0.223211	0.144885	0.144108	0.147084	0.144147	0.146937	0.138644	0.13876	0.138753
123	1	-1538.226	-1575.543	37.31704	0.400012	0.404739	0.402383	0.402149	0.401184	0.40109	0.401	0.400123	0.41484	0.414057
124	0	-1557.053	-1567.227	10.17353	0.232312	0.228877	0.209975	0.20904	0.10935	0.0913951	0.105752	0.105945	0.104499	0.104499
125	1	-1564.181	-1570.198	6.017212	0.330893	0.330876	0.245395	0.243857	0.243199	0.281418	0.290723	0.280546	0.283282	0.289131
126	0	-1555.237	-1568.83	13.5935	0.285576	0.285521	0.280381	0.272832	0.268438	0.250924	0.255048	0.253244	0.254413	0.258429
127	1	-1558.336	-1566.914	8.577686	0.292607	0.289337	0.204799	0.201412	0.164089	0.161391	0.153549	0.200814	0.187846	0.186547
128	0	-1572.697	-1569.845	-2.85184	0.292845	0.28865	0.287986	0.284181	0.284255	0.283264	0.28304	0.281793	0.281699	0.263038
129	1	-1562.081	-1569.556	7.474783	0.263223	0.276104	0.269376	0.272219	0.249021	0.152044	0.14586	0.13387	0.134684	0.147168
130	0	-1562.551	-1567.717	5.166109	0.299325	0.299627	0.299767	0.299996	0.217901	0.21954	0.221088	0.221254	0.221518	0.22196
131	1	-1584.447	-1566.184	-18.2629	0.268956	0.23718	0.23072	0.236444	0.180638	0.181823	0.165161	0.190093	0.195151	0.214107
132	0	-1589.647	-1571.043	-18.60489	0.246157	0.153318	0.150137	0.16384	0.163358	0.161258	0.160796	0.161543	0.145967	0.139851
133	1	-1573.507	-1566.694	-6.812927	0.239101	0.238158	0.118448	0.119671	0.112734	0.0981795	0.0983028	0.0988316	0.0974323	0.102774
134	0	-1616.91	-1567.464	-49.4459	0.249736	0.247824	0.241412	0.205192	0.212396	0.140188	0.187019	0.234372	0.242079	0.0866438
