Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
580	-1553.417	-1580.249	26.83189	0.501848	0.523659	0.525524	0.497525	0.483054	0.470036	0.490354	0.479453	0.458709	0.443086
590	-1570.145	-1580.302	10.15611	0.501848	0.51885	0.513929	0.518952	0.399506	0.405246	0.402623	0.429343	0.395851	0.385031
600	-1588.033	-1582.004	-6.028787	0.501848	0.565983	0.567224	0.599048	0.633026	0.281464	0.512741	0.507942	0.525721	0.513209
610	-1538.226	-1575.543	37.31704	0.400012	0.404739	0.402383	0.402149	0.401184	0.40109	0.401	0.400123	0.41484	0.414057
620	-1564.181	-1570.198	6.017212	0.330893	0.330876	0.245395	0.243857	0.243199	0.281418	0.290723	0.280546	0.283282	0.289131
630	-1558.336	-1566.914	8.577686	0.292607	0.289337	0.204799	0.201412	0.164089	0.161391	0.153549	0.200814	0.187846	0.186547
640	-1562.081	-1569.556	7.474783	0.263223	0.276104	0.269376	0.272219	0.249021	0.152044	0.14586	0.13387	0.134684	0.147168
650	-1584.447	-1566.184	-18.2629	0.268956	0.23718	0.23072	0.236444	0.180638	0.181823	0.165161	0.190093	0.195151	0.214107
660	-1573.507	-1566.694	-6.812927	0.239101	0.238158	0.118448	0.119671	0.112734	0.0981795	0.0983028	0.0988316	0.0974323	0.102774
670	-1575.643	-1565.245	-10.39755	0.242642	0.226934	0.224495	0.205731	0.208301	0.158291	0.1621	0.155552	0.155577	0.15741
680	-1578.909	-1569.03	-9.878302	0.277834	0.284155	0.28505	0.244079	0.212666	0.202365	0.202288	0.203268	0.2037	0.198724
690	-1566.388	-1569.461	3.073595	0.287914	0.224224	0.223977	0.219318	0.219267	0.209927	0.216126	0.215141	0.218921	0.195186
700	-1579.638	-1570.128	-9.509999	0.249333	0.208139	0.21613	0.204608	0.188374	0.146379	0.146855	0.141699	0.134879	0.148444
710	-1570.196	-1569.28	-0.9159419	0.215983	0.196912	0.163527	0.163334	0.145049	0.144433	0.142622	0.12972	0.115953	0.116213
720	-1589.842	-1567.926	-21.91579	0.238156	0.238922	0.0982438	0.119076	0.0874185	0.0864198	0.0856262	0.0770585	0.107353	0.0782879
730	-1587.837	-1567.124	-20.71301	0.244212	0.232874	0.126573	0.107972	0.124264	0.124352	0.12632	0.130105	0.130544	0.208862
740	-1571.895	-1567.724	-4.171185	0.25451	0.25497	0.207594	0.228264	0.227974	0.229124	0.195302	0.198966	0.190264	0.192118
750	-1596.97	-1565.784	-31.18627	0.248303	0.230191	0.198178	0.198805	0.199053	0.200982	0.204874	0.190646	0.190933	0.187945
760	-1596.972	-1566.155	-30.81734	0.235579	0.23544	0.207697	0.209816	0.164258	0.144441	0.139539	0.20768	0.210748	0.211137
770	-1591.191	-1569.364	-21.82681	0.29895	0.303745	0.305641	0.298473	0.30534	0.316857	0.350804	0.354794	0.360884	0.357919
780	-1576.247	-1568.428	-7.818949	0.262039	0.254528	0.253501	0.254672	0.194856	0.193125	0.199154	0.197949	0.199011	0.194478
790	-1579.621	-1570.104	-9.517043	0.293491	0.29158	0.289628	0.281145	0.283167	0.292967	0.254186	0.282281	0.282388	0.358009
800	-1586.238	-1567.977	-18.26085	0.254773	0.262236	0.264864	0.278081	0.299665	0.289834	0.290111	0.301512	0.299538	0.290873
810	-1574.365	-1566.946	-7.418761	0.258495	0.251361	0.158851	0.158662	0.153805	0.165937	0.168469	0.178844	0.138852	0.137198
820	-1571.56	-1569.831	-1.729183	0.289505	0.303248	0.298827	0.284555	0.206281	0.206242	0.203186	0.190684	0.205713	0.231021
830	-1554.939	-1567.32	12.38131	0.247979	0.248161	0.220149	0.206723	0.186179	0.115608	0.116195	0.115786	0.144179	0.127281
840	-1546.631	-1566.459	19.82817	0.245108	0.220842	0.18998	0.191787	0.142609	0.14055	0.140541	0.146614	0.142893	0.121063
850	-1572.214	-1566.758	-5.456583	0.258082	0.175437	0.133241	0.132813	0.0857109	0.106008	0.102564	0.124283	0.119728	0.120859
860	-1591.456	-1568.586	-22.87041	0.211703	0.200129	0.194204	0.150404	0.106018	0.0958303	0.0638963	0.0733415	0.0650246	0.0844031
870	-1534.857	-1567.258	32.40057	0.224847	0.222417	0.12173	0.12174	0.117829	0.117702	0.11725	0.117291	0.117352	0.105705
880	-1553.237	-1569.084	15.84751	0.286316	0.282691	0.282123	0.276786	0.249068	0.252067	0.25751	0.255479	0.194154	0.201608
890	-1543.457	-1568.796	25.33925	0.301822	0.287083	0.288338	0.252429	0.174248	0.206795	0.207646	0.186963	0.17761	0.178727
900	-1543.671	-1568.256	24.5847	0.306917	0.303208	0.291243	0.297796	0.242067	0.249833	0.249195	0.280549	0.28786	0.289218
910	-1593.067	-1566.797	-26.27024	0.254785	0.220029	0.185059	0.156839	0.163416	0.159458	0.15984	0.161672	0.167804	0.136807
920	-1589.144	-1569.204	-19.93949	0.19803	0.201081	0.166229	0.134169	0.120127	0.0559122	0.0624281	0.0628928	0.0535635	0.0519877
930	-1586.828	-1566.035	-20.79324	0.234645	0.180683	0.130204	0.132389	0.103279	0.0984161	0.103553	0.0931591	0.0738825	0.0680898
940	-1578.031	-1567.262	-10.76886	0.231349	0.201245	0.178638	0.181869	0.0929862	0.0942299	0.149619	0.139959	0.15227	0.153889
950	-1593.883	-1572.98	-20.90311	0.210113	0.168147	0.136767	0.207999	0.168635	0.114516	0.0877159	0.0828741	0.085365	0.0486999
960	-1598.363	-1568.263	-30.10002	0.225565	0.215062	0.0856026	0.0894528	0.0710651	0.0407685	0.0378401	0.0377526	0.0377743	0.0388424
970	-1584.359	-1568.33	-16.02834	0.209647	0.195396	0.171673	0.109374	0.0615602	0.0398443	0.0328792	0.0434161	0.04245	0.0812002
980	-1587.918	-1566.614	-21.30449	0.222915	0.204309	0.137471	0.116546	0.109169	0.0922298	0.0917726	0.0918516	0.0809643	0.0418134
990	-1590.762	-1568.456	-22.30614	0.214155	0.217975	0.140551	0.14252	0.145438	0.0518459	0.050957	0.0509961	0.0494299	0.0486265
1000	-1553.952	-1569.134	15.18225	0.204235	0.194384	0.138628	0.134543	0.133444	0.105618	0.105058	0.103179	0.103851	0.101427
1010	-1575.633	-1569.079	-6.554263	0.278786	0.251032	0.202864	0.215517	0.116081	0.112505	0.116978	0.110351	0.107421	0.0579791
1020	-1590.949	-1568.823	-22.12591	0.240922	0.233585	0.183365	0.169278	0.163323	0.160063	0.0697327	0.0843157	0.0847097	0.070196
1030	-1577.957	-1567.103	-10.85357	0.224713	0.21109	0.180719	0.1792	0.126288	0.1218	0.120885	0.115595	0.115325	0.114571
1040	-1584.644	-1567.031	-17.61347	0.229421	0.203511	0.124989	0.0844646	0.0844423	0.0892235	0.0877491	0.0997184	0.0958302	0.0956113
1050	-1593.292	-1569.366	-23.92641	0.218972	0.139781	0.13128	0.0892627	0.102676	0.101898	0.104954	0.113693	0.117015	0.105325
1060	-1571.087	-1566.787	-4.299919	0.224656	0.194141	0.116842	0.111406	0.0352768	0.0353888	0.0397379	0.0401371	0.0460577	0.042524
1070	-1572.622	-1568.362	-4.259445	0.204711	0.155898	0.153798	0.156122	0.0998644	0.0678534	0.083803	0.0974855	0.0995236	0.0985408
1080	-1575.621	-1567.581	-8.040005	0.253184	0.265573	0.20362	0.182097	0.178436	0.16024	0.162186	0.164458	0.164088	0.1666
1090	-1588.39	-1567.748	-20.64245	0.224848	0.243922	0.121735	0.116664	0.0928501	0.0921522	0.0923196	0.0890017	0.088728	0.0863459
1100	-1572.633	-1565.602	-7.031274	0.225304	0.225014	0.224273	0.22533	0.225478	0.216498	0.220732	0.220319	0.222329	0.221246
1110	-1592.473	-1566.149	-26.32367	0.213674	0.209824	0.210745	0.203373	0.204598	0.204881	0.19339	0.19487	0.194538	0.193882
1120	-1593.57	-1571.732	-21.83829	0.214179	0.208019	0.203346	0.21759	0.191368	0.189229	0.189652	0.188525	0.205257	0.203139
1130	-1602.147	-1569.11	-33.03687	0.239057	0.241536	0.13304	0.0781892	0.0989129	0.101566	0.0525849	0.0497854	0.0354011	0.0314063
1140	-1592.878	-1568.397	-24.4811	0.239136	0.179839	0.180152	0.171121	0.171131	0.0822602	0.0715257	0.0718988	0.0721291	0.071821
1150	-1568.88	-1566.186	-2.694253	0.269103	0.276298	0.27538	0.274533	0.271496	0.284293	0.270142	0.273857	0.280817	0.282392
1160	-1561.53	-1567.664	6.134399	0.261697	0.235474	0.23477	0.231781	0.229107	0.229805	0.229653	0.228846	0.246042	0.24606
1170	-1558.222	-1567.929	9.706955	0.262223	0.261692	0.257418	0.260607	0.194783	0.180709	0.180149	0.177955	0.172668	0.167739
1180	-1565.098	-1569.21	4.112031	0.323662	0.322983	0.337262	0.292845	0.259452	0.265951	0.270052	0.270054	0.270269	0.291727
1190	-1554.822	-1569.111	14.28873	0.258242	0.261286	0.248443	0.247394	0.183916	0.184775	0.184268	0.184272	0.18439	0.184392
1200	-1571.837	-1570.728	-1.109257	0.317639	0.307675	0.306602	0.289287	0.304637	0.280857	0.263172	0.263233	0.263186	0.26255
1210	-1575.79	-1567.013	-8.776889	0.232121	0.231956	0.189335	0.194084	0.195362	0.19374	0.194856	0.189466	0.194273	0.189618
