Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
106	0	-1607.827	-1567.909	-39.91789	0.000692888	0.000756088	0.000825155	0.000713702	0.000712275	0.000713968	0.0007133	0.000705684	0.000706098	0.000700642
107	1	-1601.274	-1590.505	-10.76901	0.578649	0.568962	0.53373	0.534243	0.527394	0.48741	0.497901	0.499711	0.453192	0.33818
108	0	-1587.505	-1568.362	-19.14311	0.0709752	0.068595	0.0739611	0.0831609	0.0831561	0.0806845	0.0830198	0.0827126	0.081637	0.0989863
109	1	-1593.807	-1588.133	-5.674183	0.578649	0.492364	0.476828	0.497807	0.459865	0.458171	0.453117	0.28602	0.285712	0.285161
110	0	-1597.93	-1567.731	-30.19847	0.0665138	0.0805159	0.0726928	0.0724714	0.0725541	0.0732689	0.0762293	0.110996	0.111469	0.118474
111	1	-1552.075	-1590.344	38.26935	0.536062	0.539434	0.548806	0.556503	0.610728	0.612119	0.608568	0.606185	0.605019	0.602809
112	0	-1570.44	-1567.892	-2.547979	0.077616	0.083379	0.0812773	0.0813159	0.108447	0.110136	0.102132	0.1012	0.109094	0.119376
113	1	-1550.13	-1587.134	37.004	0.536062	0.536368	0.537395	0.537215	0.536866	0.535916	0.552451	0.547885	0.548786	0.547444
114	0	-1603.358	-1570.127	-33.23112	0.0641506	0.0650696	0.0461664	0.0461075	0.0452019	0.0100996	0.00976919	0.00976706	0.00962517	0.00559973
115	1	-1596.48	-1589.977	-6.502724	0.536062	0.53603	0.539364	0.540643	0.540857	0.541721	0.542377	0.543816	0.563297	0.563548
116	0	-1588.348	-1566.68	-21.66759	0.139684	0.14558	0.124747	0.15404	0.153393	0.148808	0.135183	0.123598	0.247676	0.145292
117	1	-1553.417	-1580.249	26.83189	0.452523	0.449563	0.449753	0.451067	0.450403	0.450928	0.450547	0.450741	0.450706	0.452569
118	0	-1572.984	-1567.193	-5.79163	0.0575568	0.0587063	0.0584873	0.0592837	0.0658228	0.0584966	0.0661506	0.0656171	0.0294611	0.0342392
119	1	-1570.145	-1580.302	10.15611	0.452523	0.452539	0.441444	0.43208	0.41711	0.415779	0.415595	0.399106	0.410134	0.410064
120	0	-1603.005	-1568.083	-34.92235	0.0696934	0.0636952	0.0628864	0.0346087	0.0394763	0.116238	0.111376	0.0639939	0.146378	0.148842
121	1	-1588.033	-1582.004	-6.028787	0.499567	0.498725	0.489883	0.495071	0.464297	0.453516	0.457267	0.461402	0.461553	0.457213
122	0	-1562.743	-1567.318	4.574616	0.0992258	0.0931064	0.0926385	0.0936327	0.0940072	0.0875269	0.0857111	0.0846651	0.0847435	0.0872586
123	1	-1538.226	-1575.543	37.31704	0.353924	0.357792	0.357798	0.357891	0.358788	0.359543	0.363598	0.366118	0.36954	0.331131
124	0	-1557.053	-1567.227	10.17353	0.0941493	0.0931156	0.0931688	0.0931696	0.0917116	0.0908536	0.0895263	0.0874129	0.0873107	0.087347
125	1	-1564.181	-1570.198	6.017212	0.20272	0.201861	0.203341	0.210411	0.21043	0.201876	0.206327	0.209247	0.209358	0.209446
126	0	-1555.237	-1568.83	13.5935	0.195563	0.200899	0.197726	0.198238	0.253737	0.253516	0.24175	0.241349	0.243755	0.245427
127	1	-1558.336	-1566.914	8.577686	0.154727	0.154089	0.160612	0.15895	0.158721	0.16155	0.161515	0.156538	0.158183	0.161896
128	0	-1572.697	-1569.845	-2.85184	0.152729	0.156295	0.155367	0.220862	0.226808	0.233597	0.232154	0.263212	0.263373	0.262866
129	1	-1562.081	-1569.556	7.474783	0.150768	0.150093	0.149918	0.149989	0.151189	0.150849	0.148854	0.149204	0.147439	0.146958
130	0	-1562.551	-1567.717	5.166109	0.152729	0.197598	0.199165	0.199002	0.198384	0.166688	0.16806	0.164884	0.168841	0.168855
131	1	-1584.447	-1566.184	-18.2629	0.11532	0.164254	0.171734	0.17875	0.183655	0.178531	0.181085	0.180558	0.190968	0.190357
132	0	-1589.647	-1571.043	-18.60489	0.0734216	0.0751516	0.0714746	0.0734107	0.0716727	0.0722701	0.0788146	0.0798522	0.0739451	0.0713898
133	1	-1573.507	-1566.694	-6.812927	0.0807307	0.0804964	0.0557062	0.0557055	0.0544139	0.0562268	0.0837311	0.0829219	0.0807535	0.0938661
134	0	-1616.91	-1567.464	-49.4459	0.0920904	0.119461	0.152796	0.193542	0.235942	0.196706	0.0368076	0.0990928	0.0902279	0.158781
135	1	-1575.643	-1565.245	-10.39755	0.0821965	0.136657	0.155435	0.158721	0.156972	0.149292	0.138293	0.0611277	0.061885	0.0619916
