Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
820	-53.151	-46.0131	-7.13792	0.102728	0.897272	0.02628575	2.54409	1.50266	0.659123	0	0.4496486	0.8972722	0.1027278	24.99238
830	-51.7613	-46.7413	-5.02	0.1717	0.8283	0.01581902	3.18504	1.40193	0.649708	0	0.8907401	0.8283003	0.1716997	3.766765
840	-53.7042	-49.1041	-4.60017	0.078378	0.921622	0.01053111	2.75101	1.537	0.390335	0	0.8784112	0.921622	0.07837803	2.510437
850	-53.1001	-46.9999	-6.10017	0.379176	0.620824	0.01568406	2.35408	1.37808	0.661983	0	1.024769	0.6208237	0.3791763	9.223124
860	-54.5808	-46.9738	-7.60697	0.974075	0.0259247	0.02186389	3.57484	1.57886	0.608544	0	0.2754277	0.02592469	0.9740753	10.75417
870	-53.5082	-45.7389	-7.76929	0.786006	0.213994	0.03118761	2.23366	1.62007	0.53421	0	0.3979427	0.2139942	0.7860058	37.06871
880	-52.8079	-46.3868	-6.42104	0.885277	0.114723	0.023272	2.21819	1.34627	0.425739	0	1.036854	0.1147225	0.8852775	12.47308
890	-53.0771	-46.3446	-6.73245	0.181993	0.818007	0.02323086	2.83429	1.34838	0.620555	0	0.3591707	0.8180071	0.1819929	10.28663
900	-53.2605	-48.02	-5.24054	0.858548	0.141452	0.01878015	2.20594	1.44401	0.54481	0	0.8964895	0.1414523	0.8585477	4.66462
910	-55.1729	-47.4124	-7.76046	0.174598	0.825402	0.01878633	2.86114	1.75929	0.378506	0	1.761664	0.825402	0.174598	11.34997
920	-51.6488	-45.4092	-6.23957	0.269504	0.730496	0.02485604	3.34523	1.75169	0.614227	0	0.618588	0.7304961	0.2695039	14.26882
930	-52.661	-46.8436	-5.8174	0.384768	0.615232	0.02547771	3.10586	1.70822	0.666819	0	0.591074	0.6152322	0.3847678	9.139435
940	-56.4779	-49.6866	-6.7913	0.930302	0.0696981	0.02935423	2.63667	1.64691	0.315604	0	1.236633	0.06969813	0.9303019	12.70417
